ROI wise FC,LLAs (n = 32),HCs (n = 32),Z-value,p-value
S1M1.C-BG.I,0.377 ± 0.398,0.683 ± 0.309,-2.932,0.0047
S1M1.C-BG.C,0.380 ± 0.339,0.630 ± 0.354,-2.883,0.0054
S1M1.C-Thalamus.I,0.353 ± 0.315,0.639 ± 0.340,-3.489,0.0009
S1M1.C-Thalamus.C,0.420 ± 0.284,0.636 ± 0.352,-2.688,0.0092
S1M1.C-Cerebelum,0.552 ± 0.367,0.843 ± 0.371,-3.17,0.0024
Cerebelum-BG.I,0.625 ± 0.319,0.826 ± 0.288,-2.664,0.0098
Cerebelum-BG.C,0.561 ± 0.318,0.783 ± 0.341,-2.695,0.009
Cerebelum-Thalamus.I,0.572 ± 0.280,0.839 ± 0.308,-3.623,0.0006
Cerebelum-Thalamus.C,0.594 ± 0.307,0.845 ± 0.326,-3.17,0.0024
SMA-BG.C,0.386 ± 0.235,0.554 ± 0.283,-2.587,0.0112
SMA-Thalamus.I,0.380 ± 0.227,0.552 ± 0.265,-2.795,0.0069
,,,,
