Cognitive domain,Reference,Instruments,Unnamed: 3
General,[???],–,MMSE ↗ FC between the left thalamus–left orbitofrontal lobe
General,[???],–,"MMSE ↗ ReHo in the right angular gyrus and precuneusMoCA ↗ ReHo in the bilateral angular gyrus, the right precuneus, medial/dorsolateral PFC, and supplementary motor area"
General,[???],–,"MMSE ↗ FC right precentral–right calcarine fissure, left posterior inferior parietal lobe–left Heschl, right posterior inferior parietal lobe–right dorsolateral PFCMMSE ↘ FC right posterior inferior parietal lobe–left Heschl, left intraparietal sulcus–right superior temporal gyrusMoCA ↗ FC right posterior inferior parietal lobe–right anterior PFC, right posterior inferior parietal lobe–right dorsolateral PFCMoCA ↘ FC right posterior inferior parietal lobe–left Heschl, left intraparietal sulcus–right superior temporal gyrus"
General,[???],–,MoCA ↗ small-worldness
General,[???],–,MMSE ↘ parieto-occipital FC in patients with confluent WMH
Executive function,[???],CERAD battery [???],"Phonemic fluency ↗ FC in bilateral sup. parietal lobe, SMA, premotor cortex, MCC, and posterior superior frontal sulcusRTStroop, neutral ↘ FC in the bilateral premotor cortex, superior frontal sulcus, left inferior frontal sulcus, left SMA, left middle temporal sulcus, and right MCCRTStroop, neutral ↗ FC in the inferior parietal lobe and cerebellar lobules Crus II, VIIb, and VIIIRTTMT-A ↘ FC in the bilateral premotor cortex, left posterior middle frontal gyrus, left inferior frontal sulcus, right superior parietal lobe, and left SMARTStroop, incongruent ↘ FC in the left premotor cortex/posterior middle frontal gyrusRTStroop, incongruent ↗ FC in the cerebellar regions VI, Crus I, and Crus II"
Executive function,[???],"Letter/category fluency, letter-number sequencing of the WAIS-III, Digit Span Backward of the WAIS revised (WAIS-R), Self-Ordered Pointing task, mod. Flanker task, and TMT A/BConfirmatory factor analysis [???]",Executive function ↗ FC-SC decoupling in DMN
Executive function,[???],Visuospatial/executive sub-score of MoCA,Executive function ↗ FC in the right cingulate motor area
Executive function,[???],Stroop test,Time interference index ↗ FC in anterior DMN and SN
Executive function,[???],"TMT A/B, Stroop testLatent variables",Association (executive function ↘ WMH) attenuated in patients with high global FC in FPCNAssociations (executive function ↘ WMH) and (memory ↘ WMH attenuated) in patients with high local FC in SN
Executive function,[???],"TMT-A/B, Stroop test",RTTMT-A ↘ FC in FPCN in the right inferior parietal lobuleRTTMT-A ↘ FC between the dorsolateral PFC and DMN between bilateral PCC and right precuneus
Executive function,[???],Semantic similarity testStroop test,"Mean FC ↗ similarity indexStroop C score ↗ path length, ↘ global efficiency"
Memory,[???],Auditory Verbal Learning Test [AVLT] [???],Delayed recall ↘ participation coefficient left superior parietal lobuleRecognition ↘ characteristic path length
Memory,[???],"AVLT, structural equation modelling",Memory ↗ WML*global FC
Memory,[???],AVLT,FC ↘ long recall between right olfactory–right rectus; ↘ short recall between right olfactory–left pallidumFC ↗ RTTMT-A between right olfactory–left pallidum
