Name,Fitted to,Sparsity,Inference,Reference
Partial correlation,individuals,none,analytic,???
Tikhonov,individuals,continuous,optimised,
Graphical LASSO (GLASSO),individuals,continuous,optimised,???
Group GLASSO (Varoquaux),group,continuous,optimised,???
Group GLASSO (Danaher),group,continuous,optimised,???
Fused GLASSO,group,continuous,optimised,???
Sparse Group Gaussian Graphical Model (SGGGM),group,continuous,optimised,???
Wishart,individuals,continuous,analytic,???
Hierarchical Wishart,group,none,MCMC,???
Bayesian GLASSO,individuals,continuous,MCMC,???
Stochastic Search Variable Selection (SSVS),individuals,normal-mixture,MCMC,???
G-Wishart,concatenation,spike & slab,MCMC,???
Bayesian Multiple Gaussian Graphical Models (MGGM),group,spike & slab,MCMC,???
Single-subject HIPPO,concatenation,spike & slab,MCMC,
Weakly-sparse HIPPO,group & individuals,continuous,MCMC,
Strongly-sparse HIPPO,group & individuals,spike & slab,MCMC,
