Parameter,Brain regions (Harmmers atlas),MNI Coordinates,MNI Coordinates,MNI Coordinates,Cluster size,Peak t-value
Unnamed: 0_level_1,Unnamed: 1_level_1,X,Y,Z,Unnamed: 5_level_1,Unnamed: 6_level_1
JME>HC,JME>HC,JME>HC,JME>HC,JME>HC,JME>HC,JME>HC
ALFF,Right precentral gyrus,27,−15,63,"1,556",7.6361
,Left precentral gyrus,−24,−15,63,296,5.6764
,Right superior parietal gyrus,12,−66,36,"2,089",−7.7847
,Right cerebellum,6,−57,−54,"1,459",−6.3976
lrFCD,Left posterior temporal lobe,−33,−33,−3,965,7.4777
,Right middle and inferior temporal gyrus,42,−24,−21,519,6.7156
,Left superior parietal gyrus,−9,−54,21,208,−4.3469
gFCD,Left superior parietal gyrus,−15,−42,51,60,5.6151
,Right inferolateral remainder of parietal lobe,51,−63,24,59,−4.0931
lFCD,Left superior parietal gyrus,−15,−42,51,366,6.0595
GTCS>HC,GTCS>HC,GTCS>HC,GTCS>HC,GTCS>HC,GTCS>HC,GTCS>HC
ALFF,Left postcentral gyrus,−45,−21,54,651,6.6488
,Left lateral orbital gyrus,−33,36,−9,1186,6.2284
,Right superior parietal gyrus,9,−66,36,"2,659",−7.5734
,Right cerebellum,54,−63,−33,460,−5.4859
lrFCD,Left superior parietal gyrus,−18,−42,57,409,4.673
,Right inferolateral remainder of parietal lobe,54,−66,24,76,−4.5046
gFCD,Left superior parietal gyrus,−3,−57,63,375,5.1948
,Left inferolateral remainder of parietal lobe,−42,−63,30,98,−3.9728
lFCD,Right superior parietal gyrus,6,−51,57,251,4.5439
