Unnamed: 0,DAN,VAN,FPN,DMN
Sedentary time,Sedentary time,Sedentary time,Sedentary time,Sedentary time
∆R2,0.0329,0.0004,0.0002,0.0015
β,− 0.0001,− 0.0000,− 0.0000,0.0000
(SE),0.0000,0.0000,0.0001,0.0000
b,− 0.1861,− 0.0194,− 0.0127,0.0392
Sedentary time adjusted for MVPA,Sedentary time adjusted for MVPA,Sedentary time adjusted for MVPA,Sedentary time adjusted for MVPA,Sedentary time adjusted for MVPA
∆R2,0.0158,0.0029,0.0003,0.0005
β,− 0.0001,− 0.0000,− 0.0000,0.0000
(SE),0.0000,0.0000,0.0002,0.0000
b,− 0.1276,− 0.0546,− 0.0166,0.0226
MVPA,MVPA,MVPA,MVPA,MVPA
∆R2,0.0296†,0.0074,0.0001,0.0022
β,0.0003,− 0.0001,− 0.0000,− 0.0001
(SE),0.0001,0.0001,0.0004,0.0001
b,0.1783,− 0.0890,− 0.0084,− 0.0489
MVPA adjusted for sedentary time,MVPA adjusted for sedentary time,MVPA adjusted for sedentary time,MVPA adjusted for sedentary time,MVPA adjusted for sedentary time
∆R2,0.0123,0.0098,0.0002,0.0012
β,0.0002,− 0.0002,− 0.0001,− 0.0000
(SE),0.0001,0.0001,0.0004,0.0001
b,0.1134,− 0.1016,− 0.0140,− 0.0358
