Measures,Normoglycemia,Normoglycemia,Pre-diabetes,Pre-diabetes,Statistical contrast,Statistical contrast
Unnamed: 0_level_1,Females,Males,Females,Males,Group,Group × Sex
Unnamed: 0_level_2,(n = 39),(n = 34),(n = 40),(n = 31),p/BF10,p/BF10
Demographic,,,,,,
Age (years),66.9 ± 5.7,68.3 ± 4.9,66.9 ± 4.4,68.4 ± 4.0,0.99/0.18,0.97/0.24
Education (years),10.1 ± 5.3,9.2 ± 5.2,10.2 ± 5.1,10.8 ± 4.6,0.38/0.25,0.37/0.33
Anthropometric,,,,,,
BMI (kg/m2),26.2 ± 3.5,26.1 ± 3.0,27.9 ± 3.2,28.8 ± 4.3,0.0004/3.7???,0.42/0.30
Waist (cm),86.2 ± 9.6,89.5 ± 8.6,92.5 ± 9.7,97.1 ± 10.9,0.0001/327???,0.68/0.26
Metabolic,,,,,,
Adiponectin (ng/ml),6.5 ± 2.7,7.7 ± 2.2,6.2 ± 1.7,7.6 ± 1.8,0.52/0.22,0.67/0.26
Leptin (ng/ml),22.7 ± 14.4,13.2 ± 15.7,24.4 ± 16.4,10.6 ± 8.9,0.99/0.18,0.37/0.34
A/L ratio (ng/ml),0.4 ± 0.4,1.0 ± 0.6,0.4 ± 0.3,1.3 ± 1.3,0.44/0.24,0.08/0.88
LDL (mmol/l),3.4 ± 0.8,3.1 ± 0.9,3.4 ± 0.8,3.1 ± 0.7,0.79/0.18,0.70/0.26
HDL (mmol/l),1.5 ± 0.3,1.5 ± 0.4,1.6 ± 0.5,1.5 ± 0.6,0.97/0.18,0.76/0.26
Triglycerides (mmol/l),1.0 ± 0.4,1.3 ± 0.6,1.6 ± 0.9,1.3 ± 0.7,0.0007/38.2???,0.005/8.6???
Glucose (mmol/l),5.0 ± 0.3,5.0 ± 0.4,6.1 ± 0.4,6.1 ± 0.4,10–15 />500???,0.83/0.25
Insulin (pmol/l),6.6 ± 2.7,9.2 ± 7.6,11.4 ± 5.4,10.4 ± 4.3,0.0006/43.8???,0.05/1.4
HOMA,1.5 ± 0.6,2.0 ± 1.5,3.1 ± 1.5,2.8 ± 1.2,10–7/>500???,0.06/1.2
MS status,2.3 ± 0.6,2.49 ± 0.6,2.93 ± 0.8,2.77 ± 0.8,0.0001/192???,0.13/0.58
Cardiorespiratory,,,,,,
Heart rate (ppm),64.5 ± 9.3,64.1 ± 11.4,68.7 ± 10.4,66.4 ± 10.9,0.05/1.0,0.57/0.28
SBP (mmHg),129.2 ± 21.3,130.3 ± 24.2,133.4 ± 19.3,139.3 ± 17.3,0.07/0.82,0.48/0.31
CRF (ml/min/Kg),7.5 ± 2.0,9.5 ± 1.8,7.5 ± 1.8,9.8 ± 1.8,0.89/0.18,0.62/0.25
Cognitive,,,,,,
Phonetic fluency,13.6 ± 5.1,15.5 ± 4.7,15.3 ± 4.5,15.9 ± 5.0,0.18/0.41,0.39/0.33
Semantic fluency,20.1 ± 6.6,22.2 ± 5.2,23.3 ± 22.3,21.0 ± 6.1,0.57/0.21,0.31/0.37
TMT-A (sec),45.8 ± 21.9,39.9 ± 14.2,41.3 ± 14.3,34.4 ± 10.9,0.08/0.72,0.85/0.22
TMT-B (sec),122.2 ± 63.7,103.5 ± 48.1,132.0 ± 82.4,89.3 ± 41.1,0.99/0.18,0.25/0.43
Tower of London (sec),379.8 ± 140.0,348.8 ± 136.5,409.6 ± 165.7,371.1 ± 134.4,0.26/0.32,0.88/0.26
Spatial Span (WMS-III),,,,,,
Forward,7.1 ± 1.7,8.1 ± 1.6,7.3 ± 1.6,7.3 ± 1.7,0.34/0.27,0.11/0.72
Backward,6.0 ± 2.1,6.4 ± 1.8,6.22 ± 1.7,6.6 ± 1.5,0.59/0.20,0.92/0.25
Total,13.1 ± 3.1,14.6 ± 3.0,13.5 ± 2.9,13.9 ± 2.7,0.77/0.19,0.30/0.42
