Connectivity measure: Contrast,MNI coordinates,R2,"F(31,112)",d/δ,CI 95%,BF10
Cortical location of the peak vertex,Unnamed: 1_level_1,Unnamed: 2_level_1,Unnamed: 3_level_1,Unnamed: 4_level_1,Unnamed: 5_level_1,Unnamed: 6_level_1
lrFCD: Group × Sex,,,,,,
R precuneus (p = 0.03),7–47 55,0.13,21.9,−1.37???,−1.8–−0.09,165???
srFCD: Group × HOMA-IR,,,,,,
L mOFC (p = 0.006),−7 29–12,0.13,22.2,−1.14???,−2.2–−0.04,124???
rs-FC L mOFC: Group,,,,,,
L PCC (p = 0.01),−2–18 31,0.15,26.0,0.47???,0.16–0.77,49.7???
R Parahipocampal (p = 0.007),29–43–8,0.12,19.5,−0.50???,−0.80–−0.20,12.5???
rs-FC L mOFC: Group × Sex,,,,,,
R IFG (pars opercularis) (p < 10–6),44 10 5,0.13,22.2,−1.29???,−1.97–−0.61,353???
R STG (p = 0.008),64–24 2,0.15,25.8,−0.99???,−1.55–−0.44,15.6???
