System,Seed,BA,Talairach coordinates (L) (R)
,,,
Dorsal attention,FEF,6,"(−24, −12, 57) (28, −7, 54)"
Dorsal attention,IPS,7,"(−23, −66, 46) (25, −58, 52)"
Dorsal attention,MT +,19/37,"(−45, −69, −2) (45, −69, −4)"
Default,MPF,32/10,"(−3, 39, −2) (1, 54, 21)"
Default,LP,39,"(−47, −67, 36) (53, −67, 36)"
Default,PCC,31,"(−5, −49, 40)"
Somatomotor,SM,"4/3, 1, 2","(−39, −26, 51) (38, −26, 48)"
Visual,V1,17,"(−19.5, −75, 12) (16.5, −72, 12)"
Auditory,A1,41,"(−50, −25, 8) (50, −25, 8)"
Executive control,dACCOP,32,"(−1, 10, 46)(−35, 14, 5) (36, 16, 4)"
