Sets of CCs,Inversion algorithms,Task runs (Localizer + BMs),Task runs (Localizer + BMs),Resting-state runs,Resting-state runs
Sets of CCs,Inversion algorithms,P [%],VE [%] (± std),P [%],VE [%] (± std)
S1,MN,4.0,79.7 ± 14.6,4.8,84.1 ± 11.2
S1,LORETA,4.0,79.5 ± 14.5,4.8,83.9 ± 11.3
S1,EBB,4.0,79.4 ± 14.6,4.8,83.2 ± 11.8
S1,MSP,56.0,84.5 ± 10.5,66.4,87.6 ± 8.3
S2,MN,4.0,81.8 ± 13.7,4.8,85.6 ± 10.6
S2,LORETA,4.0,81.9 ± 13.7,4.8,85.5 ± 10.6
S2,EBB,4.0,79.4 ± 14.7,4.8,83.2 ± 11.8
S2,MSP,4.0,63.9 ± 20.4,4.8,74.9 ± 19.5
S3,MN,4.0,80.7 ± 13.7,,
S3,LORETA,4.0,80.7 ± 13.7,,
S3,EBB,4.0,78.2 ± 14.8,,
S3,MSP,4.0,60.3 ± 15.5,,
