Unnamed: 0_level_0,Brain Area,Unnamed: 2_level_0,Brain Networks,Unnamed: 4_level_0
Method,Area,Graph Param.,Network,Graph Param.
GA,SFG,Local Efficiency,Global Network,Global Efficiency
,Insular Cortex,Local Efficiency,Global Network,Local Efficiency
,Frontal Pole,Degree Centrality,Global Network,Clustering Coefficient
,Middle Frontal Gyrus,Betweenness Centrality,Global Network,Average Path Length
,Inferior Frontal Gyrus; pars triangularis,Clustering Coefficient,Global Network,Betweenness Centrality
NSGA-II,Insular Cortex,Local Efficiency,Global Network,Betweenness Centrality
,SFG,Local Efficiency,Global Network,Local Efficiency
,Frontal Pole,Degree Centrality,Global Network,Cost
,Middle Frontal Gyrus,Betweenness Centrality,Global Network,Clustering Coefficient
,Precentral Gyrus,Local Efficiency,Global Network,Global Efficiency
SA,SFG,Local Efficiency,Language–IFG,Degree Centrality
,IFG; pars triangularis,Degree Centrality,Visual–Occipital,Global Efficiency
,Lingual Gyrus,Betweenness Centrality,Visual–Lateral,Average Path Length
,Thalamus,Cost,Dorsal Attention–FEF,Betweenness Centrality
,MTG; temporooccipital part,Average Path Length,Language–pSTG,Degree Centrality
ACO,Occipital Pole,Local Efficiency,Fronto-parietal–PPC,Degree Centrality
,SFG,Global Efficiency,Dorsal Attention–FEF,Local Efficiency
,Middle Frontal Gyrus,Global Efficiency,Visual–Occipital,Cost
,Inferior Temporal Gyrus; posterior division,Degree Centrality,Default Mode–LP,Cost
,Intracalcarine Cortex,Betweenness Centrality,Dorsal Attention–FEF,Clustering Coefficient
PSO,Occipital Pole,Local Efficiency,Dorsal Attention–FEF,Local Efficiency
,SFG,Local Efficiency,Visual–Medial,Global Efficiency
,Frontal Medial Cortex,Betweenness Centrality,Dorsal Attention–FEF,Local Efficiency
,Supplementary Motor Cortex,Local Efficiency,Language–pSTG,Clustering Coefficient
,Lingual Gyrus,Betweenness Centrality,Salience–Anterior Insula,Degree Centrality
