FCD,Clusters,Voxels,Including regions,"Peak MNI (x, y, z)",F
Global,1.0,59.0,Medial frontal gyrus,"0, 66, −6",20.6
,2.0,54.0,Left inferior occipital lobe,"−21, −87, −3",11.32
,3.0,43.0,Left calcarine,"−18, −66, 3",10.27
,,,Left parahippocampal gyrus,,
Local,1.0,56.0,Left parahippocampal gyrus,"−21, −51, 0",13.2
,,,Left lingual,,
,,,Left calcarine,,
,2.0,52.0,Right lingual,"12, −69, −3",12.38
Long-range,1.0,73.0,Left medial frontal gyrus,"0, 63, −6",18.86
,,,Left superior frontal gyrus,,
,2.0,37.0,VMPFC,"6, 45, −24",11.64
