COV: Sex & Age,Unnamed: 1,CDR,FAQ,MMSE,MoCA,GDS
Rich-club density,r,0.193,0.339,0.461,0.152,0.192
,P,0.099,0.011*,0.001**,0.157,0.101
Feeder density,r,0.428,0.446,0.459,0.252,0.193
,P,0.001**,0.001**,0.001**,0.046*,0.1
Local density,r,0.304,0.284,0.254,0.123,0.179
,P,0.020*,0.028*,0.044*,0.208,0.117
SC-FC coupling,r,0.531,0.559,0.409,0.347,0.062
,P,<0.001***,<0.001***,0.002**,0.009**,0.342
Rich-club coupling,r,0.054,0.126,0.155,0.075,0.042
,P,0.361,0.201,0.153,0.310,0.391
Feeder coupling,r,0.392,0.389,0.283,0.291,0.079
,P,0.004**,0.004**,0.028*,0.025*,0.302
Local coupling,r,0.339,0.406,0.345,0.266,0.031
,P,0.011*,0.003**,0.009**,0.037*,0.42
