Parameters,StructuralT1-weighted,DWI,EPI,EPI,EPI
Parameters,StructuralT1-weighted,DWI,resting-state,inhibition task,emotion task
Acquisition time (m:s),10:02,8:05,8:07,9:22,6:40
Scan orientation,sagittal,transversal,transversal,transversal,transversal
TR (ms),10,3500,1000,1000,1000
TE (ms),4.6,99,25,25,25
Flip angle (degrees),8,90,65,65,65
Number of slices,*,66,51,51,51
Slice thickness (mm),*,2.0,2.5,2.5,2.5
Field of view (mm),240 × 240 × 200,224 × 224,220 × 220,220 × 220,220 × 220
Acquisition matrix,304 × 304,112 × 112,88 × 88,88 × 88,88 × 88
Reconstructed voxel size (mm3),0.75 × 0.75 × 0.80,2.0 × 2.0 × 2.0,2.5 × 2.5 × 2.5,2.5 × 2.5 × 2.5,2.5 × 2.5 × 2.5
Multiband acceleration factor,Off,3,3,3,3
Parallel imaging factor,1.70 (AP),1.30 (AP),1.80 (AP),1.80 (AP),1.80 (AP)
Parallel imaging factor,1.40 (RL),1.30 (AP),1.80 (AP),1.80 (AP),1.80 (AP)
Diffusion directions,,105,,,
b-values (s/mm2) [directions],,500 [15],,,
,,1000 [30],,,
,,2000 [60],,,
,,every 10th scan is a B0-scan,,,
