ROI i,ROI j,Mean FC in ASD,Mean FC in HC,T-value
ParaHippocampal_R,Frontal_Sup_L,0.05,0.24,–3.37
ParaHippocampal_R,Frontal_Sup_Medial_L,0.15,0.31,–3.29
ParaHippocampal_R,Rectus_L,0.18,0.36,–3.71
Precuneus_R,Hippocampus_L,0.06,0.25,–3.69
Temporal_Inf_R,Hippocampus_L,0.09,0.27,–3.81
Precuneus_L,Hippocampus_R,0.05,0.21,–3.26
Precuneus_R,Hippocampus_R,0.06,0.24,–3.53
Temporal_Inf_R,ParaHippocampal_L,0.09,0.3,–3.55
Temporal_Inf_R,ParaHippocampal_R,0.17,0.41,–4.27
Temporal_Inf_R,Amygdala_R,0.11,0.26,–3.41
Precuneus_R,Calcarine_L,0.36,0.54,–3.49
