Cluster volume (mm3),T,Peak MNI coordinates (mm),Peak MNI coordinates (mm),Peak MNI coordinates (mm),Brain regions
Cluster volume (mm3),T,Unnamed: 2_level_1,Unnamed: 3_level_1,Unnamed: 4_level_1,Brain regions
Cluster volume (mm3),T,X,Y,Z,Brain regions
160,−6.9318,3,18,42,Right cingulate gyrus
84,−6.1058,51,−45,48,Right inferior parietal lobule
69,−5.623,9,−66,54,Right superior parietal lobule
24,−3.6704,−39,−12,54,Left anterior central gyrus
29,−4.4855,51,−6,33,Right anterior central gyrus
17,−3.7837,−6,−33,75,Left posterior central gyrus
16,−4.493,48,−30,51,Right posterior central gyrus
62,−4.3566,−24,21,45,Left middle frontal gyrus
133,−5.9867,45,21,27,Right middle frontal gyrus
44,−4.0144,−36,−75,33,Left precuneus
164,−5.116,21,15,51,Right superior frontal gyrus
130,−4.8415,57,−54,15,Right superior temporal gyrus
55,−5.3972,−6,−48,0,Left cerebellar frontal gyrus
28,−4.0303,6,−51,−45,Right cerebellar frontal gyrus
