Unnamed: 0_level_0,Lacunes,Lacunes,Lacunes,Microbleeds,Microbleeds,Microbleeds
Unnamed: 0_level_1,HC???,MILD???,Moderate-Severe???,HC???,MILD???,Moderate-Severe???
Unnamed: 0_level_2,(n = 32),(n = 29),(n = 47),(n = 32),(n = 25),(n = 37)
Subcortical,Subcortical,Subcortical,Subcortical,Subcortical,Subcortical,
Frontal,0 (0.0),0 (0.1),0 (0.2),0 (0.1),0 (0.1),0 (0.3)
Parietal,0 (0.0),0 (0.1),0 (0.1),0 (0.1),0 (0.3),0 (0.1)
Occipital,0 (0.0),0 (0.0),0 (0.1),0 (0.1),0 (0.1),0 (0.4)
Temporal,0 (0.0),0 (0.1),0 (0.2),0 (0.1),0 (0.5),0 (0.13)
Any subcortical,0 (0.0),0 (0.0),0 (0.1),0 (0.0),0 (0.1),0 (0.4)
Deep,Deep,Deep,Deep,Deep,Deep,
Basal ganglia,0 (0.0),0 (0.2),0 (0.3),0 (0.1),0 (0.2),0 (0.5)
Thalamus,0 (0.0),0 (0.0),0 (0.1),0 (0.0),0 (0.1),0 (0.6)
Internal capsule,0 (0.0),0 (0.0),0 (0.1),0 (0.0),0 (0.3),0 (0.7)
Any deep,0 (0.0),0 (0.0),0 (0.0),0 (0.1),0 (0.1),0 (0.4)
Infratentorial,Infratentorial,Infratentorial,Infratentorial,Infratentorial,Infratentorial,
Cerebellum,0 (0.0),0 (0.0),0 (0.1),0 (0.1),0 (0.1),0 (0.16)
Pons,0 (0.0),0 (0.1),0 (0.0),0 (0.0),0 (0.2),0 (0.2)
Mesencephalon,0 (0.0),0 (0.0),0 (0.0),0 (0.1),0 (0.2),0 (0.3)
Medulla Oblongata,0 (0.0),0 (0.0),0 (0.0),0 (0.0),0 (0.1),0 (0.5)
Total,0 (0.0),0 (0.1),0 (0.2),0 (0.0.75),0 (0.2),1 (0.3)
