Number,Pearson correlation,Partial correlation,Distance correlation
1,Right precentral gyrus,Left globus pallidus,Right percental gyrus
2,Orbital part of left superior frontal,Right thalamus,Right dorsolateral superior frontal gyrus
3,Orbital part of right middle frontal gyrus,Left middle temporal gyrus,Orbital part of left superior frontal gyrus
4,Right olfactory cortex,Right middle temporal pole,Orbital part of right middle frontal gyrus
5,Medial part of right superior frontal gyrus,Left crus II of cerebellar hemisphere,Left supplementary motor area
6,Left calcarine fissure and surrounding cortex,Right crus II of cerebellar hemisphere,Right olfactory cortex
7,Left superior occipitalgyrus,Right Lobule III of cerebellar hemisphere,Medial part of right superior frontal gyrus
8,Left putamen,"Right lobule IV, V of cerebellar hemisphere",Right anterior cingulate and paracingulate gyri
9,Left globus pallidus,Left lobule VIII of cerebellar hemisphere,Left calcarine fissure and surrounding cortex
10,Right middle temporal gyrus,Right lobule VIII of cerebellar hemisphere,Left superior occipitalgyrus
11,Right middle temporal pole,Right lobule VIII of cerebellar hemisphere,Left superior parietal gyrus
12,Right crus II of cerebellar hemisphere,Right lobule IX of cerebellar hemisphere,Right precuneus
13,Left lobule III of cerebellar hemisphere,Left lobule X of cerebellar hemisphere,Right superior temporal pole
14,Right lobule III of cerebellar hemisphere,Right lobule X of cerebellar hemisphere,Right inferior temporal gyrus
15,Left lobule X of cerebellar hemisphere,"Lobule I, II of vermis",Left crus II of cerebellar hemisphere
16,Lobule III of vermis,Lobule III of vermis,Left lobule III of cerebellar hemisphere
17,Lobule VIII of vermis,"Lobule IV, V of vermis",Right lobule VIII of cerebellar hemisphere
18,Lobule IX of vermis,Lobule X of vermis,
19,Lobule X of vermis,,
