Predictors,Model 1,Model 1,Model 2,Model 2,Model 3,Model 3
Unnamed: 0_level_1,Estimates,CI???,Estimates,CI,Estimates,CI
(Intercept),−0.56,−1.16 to 0.03,−0.16,−0.84 to 0.53,0.03,−0.66 to 0.73
Group (MCI),0.16,−0.50 to 0.81,−0.64,−1.61 to 0.32,−1.03,−2.04 to −0.01*
State,0.17,0.02 to 0.32*,−0.01,−0.22 to 0.20,−0.01,−0.22 to 0.20
Group (MCI) × State,,,0.34,0.05 to 0.63*,0.36,0.06 to 0.65*
NEUROPSI,,,,,−0.35,−0.71 to 0.01
Random Effects,Random Effects,Random Effects,Random Effects,Random Effects,Random Effects,Random Effects
σ2,0.65,,0.59,,0.59,
τ00,0.33,,0.37,,0.29,
ICC,0.34,,0.38,,0.33,
,,,,,,
Observations,68,,68,,68,
Marg. R2,0.055,,0.104,,0.181,
Cond. R2,0.372,,0.447,,0.449,
AIC,194.957,,193.993,,194.165,
