Resting state networks,YugLM,YugLM,OldLM,OldLM,OldHM,OldHM
Resting state networks,Unnamed: 1_level_1,Unnamed: 2_level_1,Unnamed: 3_level_1,Unnamed: 4_level_1,Unnamed: 5_level_1,Unnamed: 6_level_1
Resting state networks,Positive,Negative,Positive,Negative,Positive,Negative
Primary visual,0,0,0,0,0,16
Dorsal default mode,0,0,0,0,271,0
Right executive control,0,0,0,0,28,600
Cerebellum,0,0,42,0,787,202
Anterior salience,0,0,0,0,3657,582
High visual,0,0,51,4,0,0
Left executive control,0,0,1,0,17,86
Language,0,0,0,0,0,26
Precuneus,109,0,175,196,0,0
Visuospatial,0,0,0,0,29,74
Basal ganglia,0,0,0,0,121,0
Medial sensorimotor,0,0,17,0,0,0
Auditory,0,0,13,0,1,3009
Sensorimotor,0,0,0,0,7,67
