DLPFC Definition,MNIx,MNIy,MNIz,Estimated HDRS% Improvement???,Mean FC values???,Mean FC values???,Mean FC values???,Mean FC values???
DLPFC Definition,MNIx,MNIy,MNIz,Estimated HDRS% Improvement???,5‐mm pgACC,5‐mm sgACC,10‐mm pgACC,10‐mm sgACC
"Average 5‐cm Coordinate (Fox et al., ???)",−41,16,54,0.254,−0.10,−0.10,−0.10,−0.09
"Responders' target (Herbsman et al., ???)",−46,23,49,0.448,−0.13,−0.12,−0.13,−0.11
"Nonresponders' target (Herbsman et al., ???)",−41,17,55,0.266,−0.10,−0.10,−0.09,−0.09
"EEG (F3) Site (Herwig et al., ???)",−37,26,49,0.286,−0.11,−0.11,−0.10,−0.10
"BA46 (Rajkowska & Goldman‐Rakic, ???)",−44,40,29,0.608,−0.11,−0.12,−0.12,−0.15
"BA9 (Rajkowska & Goldman‐Rakic, ???)",−36,39,43,0.42,−0.04,−0.11,−0.03,−0.12
"TMS Target (Cho & Strafella, ???)",−40,31,34,0.412,−0.14,−0.14,−0.14,−0.16
"TMS Target (Rusjan et al., ???)",−50,30,36,0.62,−0.20,−0.15,−0.21,−0.16
Converted Fitzgerald Target???,−39,40,31,0.498,−0.05,−0.11,−0.06,−0.14
