Side,Region,"MNI coordinate(x, y, z)","MNI coordinate(x, y, z).1","MNI coordinate(x, y, z).2",Peak intensity,Voxels
L,Temporal_Inf_L (AAL),-48,-15,-45,14.4219,53
R,Superior Temporal GyrusTemporal_Pole_Mid_R (AAL),39,12,-36,10.6047,107
R,Middle Frontal Gyrus,27,30,39,14.3868,2733
R,Frontal_Sup_R (AAL)Medial Frontal GyrusMedial Frontal Gyrus,9,45,30,8.3849,98
R,Cerebellum Posterior Lobe,27,-78,-24,7.2024,56
R,Cerebellum Anterior Lobe,-30,-51,-39,11.687,589
R,Middle Temporal Gyrus,66,-48,-6,15.1143,2345
R,Precentral Gyrus,21,-27,60,5.7781,33
R,Supp_Motor_Area_R (AAL)Precuneus_R (AAL),30,-66,6,9.422,193
R,Temporal_Inf_R (AAL),27,-12,-45,7.8717,80
R,Postcentral Gyrus,-48,-36,57,5.9806,43
L,Parietal_Sup_L (AAL),-30,-66,6,8.3664,193
