Comparison,Comparison.1,Side,Region,"MNI coordinate(x, y, z)","MNI coordinate(x, y, z).1","MNI coordinate(x, y, z).2",T value,Voxels(voxel p < 0.005),Voxels(voxel p < 0.001)
MDD vs. SD,MDD > SD,L,Temporal_Inf_L (AAL),-42,-36,-15,3.8092,1,1
MDD vs. SD,MDD < SD,R,Superior Temporal GyrusTemporal_Pole_Mid_R (AAL),39,12,-36,-4.031,17,9
MDD vs. SD,MDD < SD,R,Middle Frontal Gyrus,27,33,39,-4.7146,108,56
MDD vs. SD,MDD < SD,R,Frontal_Sup_R (AAL)Medial Frontal Gyrus,18,3,54,-4.1943,33,10
MDD vs. HC,MDD > HC,R,Cerebellum Posterior Lobe,51,-75,-45,3.5093,3,1
MDD vs. HC,MDD > HC,R,Cerebellum Anterior Lobe,9,-36,-18,3.7061,7,2
MDD vs. HC,MDD < HC,R,Middle Temporal Gyrus,66,-48,-6,-4.8021,52,28
MDD vs. HC,MDD < HC,R,Precentral Gyrus,36,0,30,-4.3604,18,3
MDD vs. HC,MDD < HC,R,Supp_Motor_Area_R (AAL)Precuneus_R (AAL),3,-42,51,-3.1291,10,3
SD vs. HC,SD > HC,R,Temporal_Inf_R (AAL),51,-48,-27,3.5549,18,5
SD vs. HC,SD > HC,R,Middle Frontal Gyrus,27,30,39,3.4004,8,1
SD vs. HC,SD > HC,R,Postcentral Gyrus,24,-33,75,3.3121,4,1
SD vs. HC,SD < HC,L,Parietal_Sup_L (AAL),-36,-54,66,-3.4485,6,3
