Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Paxino atlas,Paxino atlas,Paxino atlas
Cluster (Total),Sub-regions,Cluster size,t value,x,y,z
Cluster 1,–,80,−5.0539,1.3541,8.335,−1.7979
,R-hypothalamus,80,−5.0539,1.3541,8.335,−1.7979
Cluster 2,–,20,−4.2600,4.8380,7.8529,−2.2779
,R-amygdaloid body,18,−4.2600,4.8380,7.8529,−2.2779
Cluster 3,–,216,4.5586,−3.5607,0.6687,−4.1979
,L-parietal association cortex,20,4.2386,−3.5673,0.6261,−3.7179
,L-parietal cortex posterior area,9,4.0850,−3.9586,0.6457,−4.1979
,L-visual cortex,186,4.5586,−3.5607,0.6687,−4.1979
Cluster 4,–,137,4.7969,−7.2579,4.3545,−7.0779
,L-auditory cortex,39,4.4197,−7.2645,4.1703,−6.5979
,L-temporal association cortex,76,4.7969,−7.2579,4.3545,−7.0779
