Node number,Node name,p value,Correlation with stimulation site,Mean effect (sham patients),Mean effect (verum patients)
Degree,Degree,Degree,Degree,Degree,Degree
17,L paracentral lobule,.034,<0.01,1.921,−1.507
29,R precentral,.026,<0.01,1.677,−1.885
46,R postcentral,.027,0.07,−1.831,1.689
51,L cingulo‐opercular,.008,−0.07,−2.647,2.746
53,R supp motor area,.038,0.01,−2.099,1.802
57,L cingulo‐opercular,.02,−0.04,3.619,−0.609
59,L cingulo‐opercular (mid cingulum),.016,0.01,−1.514,3.643
65,L supramarginal (auditory),.049,−0.10,−1.873,1.389
69,L supramarginal (auditory),.03,−0.07,0.950,−2.577
112,L frontal sup medial,.007,0.25,−1.851,2.121
113,L anterior cingulum,.049,0.12,−0.921,1.769
119,R mid temporal,.026,0.07,−3.112,0.448
124,L parahippocampal,.001,−0.07,2.534,−3.512
167,L cuneus,.031,−0.13,−0.886,2.639
218,R frontal middle,.039,0.02,0.365,3.851
233,R subcortical,.033,0.09,1.878,−2.227
243,L cerebellum,.033,−0.04,1.753,−2.101
260,L middle occipital,.048,−0.05,0.620,−2.632
Betweenness centrality,Betweenness centrality,Betweenness centrality,Betweenness centrality,Betweenness centrality,Betweenness centrality
7,R parahippocampal,.034,−0.03,−0.359,15.132
16,R supp motor area,0*,−0.03,13.547,−22.387
17,L paracentral lobule,.01,<0.01,10.903,−16.448
29,R precentral,.039,0.03,−3.283,8.738
45,L postcentral,.033,−0.04,6.856,−13.340
63,R temporal sup,.012,−0.10,4.909,−15.901
64,L rolandic oper,.009,−0.04,−22.929,1.287
97,R frontal sup,.003,0.16,10.439,−9.238
101,R frontal sup,.026,0.06,7.773,−6.713
119,R temporal mid,.003,0.07,−13.196,10.489
124,L parahippocampal,.025,−0.07,−17.820,2.300
133,L cingulum post,.028,0.12,15.210,2.517
154,L occipital inf,.021,−0.12,9.576,−7.326
161,R temporal inf,.004,−0.02,8.237,−12.659
179,R temporal inf,.029,‐ < 0.01,6.494,−5.580
194,R angular,.04,0.08,6.676,−7.374
196,R frontal mid,.045,0.16,9.377,−0.447
198,L frontal mid orb,.024,0.14,−11.100,4.519
213,L supp motor area,.015,−0.07,−14.444,3.072
227,L putamen,.023,0.03,−12.493,7.018
228,L subcortical,.011,0.08,−15.480,16.380
235,R temporal sup,.031,0.01,−11.220,3.228
268,L caudate,.004,0.05,−18.123,4.126
