Network/region,MNI coordinates
SMN,SMN
SMA,"0, −21, 48"
Left motor cortex,"−39, −26, 51"
Right motor cortex,"38, −26, 48"
DMN,DMN
MPFC,"−1, 54, 27"
PCC,"0, −52, 27"
Left parietal cortex,"−46, −66, 30"
Right parietal cortex,"49, −63, 33"
FPN,FPN
dmPFC,"0, 24, 46"
Left anterior PFC,"−44, 45, 0"
Right anterior PFC,"44, 45, 0"
Left superior parietal cortex,"−50, −51, 45"
Right superior parietal cortex,"50, −51, 45"
SN,SN
dACC,"0, 21, 36"
Left anterior PFC,"−35, 45, 30"
Right anterior PFC,"32, 45, 30"
Left insula,"−41, 3, 6"
Right insula,"41, 3, 6"
