Unnamed: 0_level_0,Norm band,Norm band,Norm band,Norm band,Slow‐4,Slow‐4,Slow‐4,Slow‐4,Slow‐5,Slow‐5,Slow‐5,Slow‐5
Unnamed: 0_level_1,Cluster (AAL)???,Peak (MNI),Size,Peak intensity,Cluster (AAL)???,Peak (MNI),Size,Peak intensity,Cluster (AAL)???,Peak (MNI),Size,Peak intensity
fALFF,cluster1,30 18 −27,33.0,−6.073,cluster1,42 −21 −3,35.0,−4.8876,,,,
,Temporal_Pole_Sup_R,,19.0,,Temporal_Sup_R,,13.0,,,,,
,Frontal_Inf_Orb_R,,8.0,,Heschl_R,,8.0,,,,,
,cluster2,42 −21 −3,60.0,−5.5679,Insula_R,,1.0,,,,,
,Temporal_Sup_R,,17.0,,cluster2,9 −78 45,40.0,−5.0811,,,,
,Rolandic_Oper_R,,15.0,,Cuneus_R,,11.0,,,,,
,Heschl_R,,15.0,,Precuneus_R,,11.0,,,,,
,Insula_R,,6.0,,Parietal_Sup_R,,3.0,,,,,
,cluster3,27 54 30,29.0,−5.7277,cluster3,−3 15 66,34.0,−4.981,,,,
,Frontal_Mid_R,,17.0,,Supp_Motor_Area_L,,23.0,,,,,
,Frontal_Sup_R,,9.0,,Supp_Motor_Area_R,,7.0,,,,,
ReHo,,,,,cluster1,57 27 27,30.0,−5.8125,cluster1,−30 −36 36,58.0,−6.09
,,,,,Frontal_Inf_Tri_R,,29.0,,Parietal_Inf_L,,10.0,
,,,,,cluster2,63 −18 33,40.0,−4.7614,,,,
,,,,,Postcentral_R,,34.0,,,,,
,,,,,SupraMarginal_R,,4.0,,,,,
DC,,,,,,,,,cluster1,6 42 3,27.0,−6.4472
,,,,,,,,,Cingulum_Ant_R,,16.0,
,,,,,,,,,Frontal_Sup_Medial_R,,8.0,
,,,,,,,,,Cingulum_Ant_L,,3.0,
