Unnamed: 0,ALFF,fALFF,PerAF,Wavelet‐ALFF,ReHo,DC
Normal band,,,,,,
Sensitivity,,√,,,,
Inside/outside the atrophic area,,Inside,,,,
Slow‐5,,,,,,
sensitivity,,,,,√,√
Inside/outside the atrophic area,,,,,Outside,Inside
Slow‐4,,,,,,
sensitivity,,√,,,√,
Inside/outside the atrophic area,,Inside & outside,,,Inside & outside,
Slow‐3,,,,,,
sensitivity,√,√,√,√,√,√
Inside/outside the atrophic area,Inside & outside,Inside,Inside,Inside & outside,Inside,Outside
Slow‐2,,,,,,
sensitivity,√,√,,√,√,√
Inside/outside the atrophic area,Outside,Outside,,Inside & outside,Inside & outside,Outside
