Unnamed: 0_level_0,Copying score,Copying score,Creating score,Creating score
Unnamed: 0_level_1,+,-,+,-
Lp,N,left olfactory cortex (-0.374),left inferior occipital gyrus (0.567),left thalamus (-0.249)
Lp,N,right olfactory cortex (-0.362),left caudata nucelus (0.170),
Lp,N,left amygdala (-0.453),right caudata nucelus (0.150),
Lp,N,right amygdala (-0.558),,
Lp,N,left caudate nucelus (-0.317),,
Lp,N,right caudate nucelus (-0.268),,
Lp,N,right rectus (-0.439),,
Lp,N,right thalamus (-0.346),,
Lp,N,right middle temporal pole (-0.623),,
Cp,right gyrus rectus (0.378),right supplementary motor areas (-0.566),right inferior frontal gyrus (0.524),right calcarine fissure (-0.356)
Cp,right amygdala (0.438),right superior occipital gyrus (-0.482),,right cuneus (-0.359)
Cp,,left inferior occipital gyrus (-0.456),,right superior occipital gyrus (-0.395)
Cp,,,,right middle occipital gyrus (-0.357)
Cp,,,,right middle temporal gyrus (-0.345)
Cp,,,,left inferior occipital gyrus (-0.386)
Eloc,left superior medial frontal gyrus (0.604),right paracentral lobule (-0.355),left supplementary motor area (0.422),left inferior occipital gyrus (-0.440)
Eloc,right superior medial frontal gyrus (0.671),right caudate nucelus (-0.118),left insula (0.439),
Eloc,left post cingulum cortex (0.567),,left paracentral lobule (0.366),
Eloc,right post cingulum cortex (0.657),,right paracentral lobule (0.257),
Eloc,right hippocampus (0.442),,left caudata nucelus (0.156),
Eloc,right lenticular nucleus (pallidum) (0.534),,right caudata nucelus (0.182),
Eloc,left temporal pole (middle temporal gyrus) (0.419),,left thalamus (0.164),
Eloc,,,right thalamus (0.188),
Eloc,,,right lenticular nucleus (pallidum) (0.387),
