RSNs/regions (AAL),Cluster size (mm3),Peak MNI coordinates (x y z),Peak MNI coordinates (x y z),Peak MNI coordinates (x y z),Peak T-value
RSNs/regions (AAL),Cluster size (mm3),X,Y,Z,Peak T-value
AUN,,,,,
TPS.L,104.0,-45.0,3.0,-15.0,24.1194
PreCG.R,45.0,54.0,3.0,27.0,30.5567
MCG.R,96.0,6.0,30.0,33.0,29.8302
DMN,,,,,
SFGmed.L,21.0,-3.0,66.0,6.0,30.5884
PCUN.L,1297.0,6.0,-63.0,36.0,97.2039
ANG.L,95.0,-48.0,-57.0,27.0,42.8589
ANG.R,109.0,51.0,-54.0,36.0,28.296
DAN,,,,,
ITG.R,56.0,51.0,-60.0,-9.0,23.913
PCUN.R,64.0,15.0,-57.0,15.0,45.5962
IFGoperc.R,182.0,57.0,9.0,27.0,62.9567
SMG.R,1117.0,42.0,-27.0,42.0,69.4657
PCUN.L,2853.0,3.0,-63.0,54.0,175.8931
LFPN,,,,,
ITG.L,20.0,-66.0,-48.0,-12.0,84.2057
ORBmid.L,20.0,-33.0,57.0,-12.0,41.5616
RFPN,,,,,
MFG.R,27.0,33.0,21.0,51.0,21.3332
SMN,,,,,
SMA.L,152.0,3.0,3.0,72.0,24.0919
VIN,,,,,
MOG.R,631.0,39.0,-90.0,3.0,65.4637
MOG.L,817.0,-27.0,-99.0,9.0,66.4165
