Network,Brain region,BA,Coordinates,Coordinates,Coordinates
Network,Brain region,BA,x,y,z
Alerting,R. superior temporal gyrusa,22.0,61,− 40,11
Alerting,Superior colliculus,,6,− 28,− 7
Alerting,L. Thalamus,,− 12,− 17,6
Alerting,R. thalamus,,13,− 9,7
Alerting,L. inferior parietal lobe,40.0,− 50,− 20,21
Alerting,L. fusiform gyrus,37.0,− 42,− 62,0
Alerting,L. inferior frontal gyrus,47.0,− 32,27,0
Alerting,Cerebellar vermis,,0,− 65,− 10
Alerting,L. superior parietal lobeb,7.0,− 36,− 46,50
Orienting,L. fusiform gyrus,37.0,− 34,− 60,− 5
Orienting,R. fusiform gyrus,37.0,30,− 47,− 6
Orienting,L. precentral gyrusc,6.0,− 38,− 8,41
Orienting,R. superior parietal lobed,7.0,32,− 41,30
Orienting,L. superior frontal gyrus,6.0,− 10,7,57
Orienting,L. superior parietal lobee,7.0,− 28,− 72,28
Orienting,R. postcentral gyrus,2.0,57,− 21,43
Orienting,L. precentral gyrus,4.0,− 30,− 26,53
Executive control,Thalamusf,,− 22,− 27,3
Executive control,L. superior frontal gyrusc,6.0,− 16,4,44
Executive control,R. inferior frontal gyrus,45.0,36,26,15
Executive control,L. fusiform gyrus,37.0,− 36,− 60,1
Executive control,L. inferior frontal gyrus,47.0,− 34,20,5
Executive control,Cerebellar vermis,,0,− 62,− 32
Executive control,R. middle frontal gyrus,6.0,36,− 5,50
Executive control,R. fusiform gyrus,37.0,44,− 58,1
Executive control,R. anterior cingulate gyrus,32.0,6,36,26
