Unnamed: 0,N,ColdMeat_Eggs,Meat,ProcessFood,Dessert,SweetBreakfast,Sweet,IceCream,Appetizer,Cheese,Fat,PCA1,PCA2
ALL,178,2.15 ± 1.78,2.98 ± 2.08,1.33 ± 0.92,9.94 ± 9.39,9.40 ± 7.76,3.53 ± 3.04,0.69 ± 0.85,2.20 ± 3.11,3.81 ± 3.33,4.72 ± 3.74,na,na
ALL-178,,,,,,,,,,,,,
"PCA1, p-value",,<0.001,<0.001,<0.001,<0.001,<0.001,<0.001,<0.001,<0.001,<0.001,<0.001,,
"PCA2, p-value",,<0.001,0.010,0.338,<0.001,<0.001,<0.001,0.470,0.074,<0.001,0.349,,
"Volunteers selection criteria, n = 50","Volunteers selection criteria, n = 50","Volunteers selection criteria, n = 50",,,,,,,,,,,
PTc,25,1.75 ± 1.10,2.57 ± 1.85,1.11 ± 0.46,8.29 ± 6.91,7.69 ± 7.01,2.72 ± 2.55,0.44 ± 0.44,1.24 ± 1.09,3.04 ± 2.79,2.43 ± 2.07,−0.49 ± 0.66,0.29 ± 1.03
WTc,25,2.98 ± 1.89,3.85 ± 1.91,1.97 ± 1.28,12.39 ± 11.05,11.81 ± 8.28,4.95 ± 3.77,1.23 ± 1.22,5.08 ± 6.50,6.29 ± 4.16,8.57 ± 4.55,2.33 ± 1.47,0.38 ± 1.38
p-value,na,0.006,0.02,0.003,0.122,0.064,0.018,0.004,0.005,0.002,<0.001,<0.001,0.811
"Volunteers characterization, n = 50","Volunteers characterization, n = 50","Volunteers characterization, n = 50",,,,,,,,,,,
"PCA1, p-value",,0.040,0.001,<0.001,0.016,0.201,<0.001,<0.001,<0.001,0.001,<0.001,,
"PCA2, p-value",,<0.001,0.256,0.422,<0.001,0.004,<0.001,0.746,0.746,0.007,0.940,,
