Unnamed: 0,Age (years),Weight (kg),Height (cm),BMI (kg/cm2),DER (kcal/day),Fat (%),Ricci-Gagnon,SCOFF,TFEQ: CR,TFEQ: EE,TFEQ: UE,EOQ,AUDIT,CRAFT
"All selected, n = 50",20.3 ± 1.9,59.0 ± 5.9,167.0 ± 5.1,21.2 ± 1.9,"1,382.1 ± 164.3",23.5 ± 5.9,19.2 ± 6.6,0.04 ± 0.20,8.7 ± 5.0,5.1 ± 2.7,13.4 ± 7.5,2.1 ± 2.5,3.1 ± 2.1,0.20 ± 0.45
"PTc, n = 25",20.4 ± 2.0,60.0 ± 5.0,166.0 ± 5.7,21.8 ± 2.0,1360.2 ± 180.3,24.2 ± 5.1,19.5 ± 6.3,0.08 ± 0.28,8.6 ± 5.3,4.2 ± 2.3,12.4 ± 8.0,1.84 ± 2.9,2.8 ± 1.8,0.24 ± 0.52
"WTc, n = 25",20.1 ± 1.8,58.0 ± 6.5,168.0 ± 4.3,20.5 ± 1.7,1403.2 ± 147.2,22.9 ± 6.7,19.0 ± 6.9,0.00 ± 0.00,8.9 ± 4.7,6.0 ± 2.9,14.4 ± 6.9,2.3 ± 2.0,3.4 ± 2.3,0.16 ± 0.37
p-value,0.272,0.257,0.176,0.017,0.352,0.430,0.763,0.155,0.845,0.018,0.357,0.497,0.346,0.537
,,,,,,,,,,,,,,
PCA axis effect,Age,Weight,Height,BMI,DER,Fat,Ricci-Gagnon,SCOFF,TFEQ: CR,TFEQ: EE,TFEQ: UE,EOQ,AUDIT,CRAFT
,,,,,,,,,,,,,,
"PCA1, p-value",0.346,0.852,0.182,0.234,0.508,0.792,0.668,0.520,0.986,0.020,0.384,0.425,0.061,0.316
"PCA2, p-value",0.595,0.901,0.400,0.662,0.813,0.949,0.977,0.637,0.169,0.345,0.007,0.520,0.603,0.332
