ROI pairs,Estimate (SE),Stat.,P-value,Adj. P.,CI
MFG_DPFC_L: MTG_L,−0.34 (0.09),−3.742,0.0,0.014,"[−0.52, −0.16]"
MFG_DPFC_L: ITG_L,−0.26 (0.08),−3.368,0.001,0.058,"[−0.41, −0.11]"
MFG_DPFC_L: IFG_triangularis_L,−0.21 (0.07),−3.153,0.002,0.123,"[−0.34, −0.08]"
MFG_DPFC_R: STG_L,−0.23 (0.09),−2.732,0.006,0.472,"[−0.40, −0.07]"
MFG_DPFC_R: IFG_opercularis_L,−0.14 (0.06),−2.433,0.015,1.0,"[−0.26, −0.03]"
MTG_L_pole: PCC_L,−0.17 (0.07),−2.428,0.015,1.0,"[−0.31, −0.03]"
IFG_triangularis_L: PCC_R,−0.17 (0.07),−2.359,0.018,1.0,"[−0.31, −0.03]"
MTG_L_pole: PCC_R,−0.18 (0.08),−2.359,0.018,1.0,"[−0.34, −0.03]"
AG_R: MTG_L,−0.17 (0.07),−2.353,0.019,1.0,"[−0.30, −0.03]"
MFG_DPFC_R: MTG_L,−0.24 (0.12),−2.100,0.036,1.0,"[−0.47, −0.02]"
MFG_DPFC_L: MTG_L_pole,−0.19 (0.09),−2.093,0.036,1.0,"[−0.36, −0.01]"
IFG_triangularis_L: AG_L,−0.12 (0.06),−1.979,0.048,1.0,"[−0.25, −0.00]"
