Significant connections,Significant connections,Significant connections,Significant connections,Significant connections,Functional connectivity,Functional connectivity,Functional connectivity
Network,Seed region,"Coordinates (x, y, z)",Target region,"Coordinates (x, y, z).1",rFED,rRD,HC
rRD vs. HC (sub-Component 2),rRD vs. HC (sub-Component 2),rRD vs. HC (sub-Component 2),rRD vs. HC (sub-Component 2),rRD vs. HC (sub-Component 2),rRD vs. HC (sub-Component 2),rRD vs. HC (sub-Component 2),rRD vs. HC (sub-Component 2)
SMN-SN (1),L—S2,"(−50, −15, 17)",L—Inferior parietal lobule,"(−61, −40, 36)",0.19,0.17,0.12
SMN-ECN (2),L—Somato-motor network component A,"(−23, −23, 63)",L—Inferior parietal lobule,"(−48, −52, 52)",−0.03,−0.14,−0.17
,L—S2,"(−50, −15, 17)",L—Inferior parietal lobule,"(−48, −52, 52)",−0.08,−0.13,−0.18
DAN-ECN,L—Post-central cortex,"(−36, −38, 55)",L—Inferior parietal lobule,"(−48, −52, 52)",0.22,0.19,0.12
SMN- DMN,L—Somato-motor network component A,"(−23, −23, 63)",L—Inferior parietal lobule,"(−53, −54, 30)",−0.23,−0.32,−0.32
rRD vs. HC (sub-Component 3),rRD vs. HC (sub-Component 3),rRD vs. HC (sub-Component 3),rRD vs. HC (sub-Component 3),rRD vs. HC (sub-Component 3),rRD vs. HC (sub-Component 3),rRD vs. HC (sub-Component 3),rRD vs. HC (sub-Component 3)
SN – SN (3),L—Inferior parietal lobule,"(−61, −40, 36)",R—Lateral prefrontal cortex,"(32, 49, 25)",0.3,0.27,0.39
,L—Inferior parietal lobule,"(−61, −40, 36)",R—Ventrolateral prefrontal cortex,"(45, 46, 0)",0.15,0.23,0.39
,L—Inferior parietal lobule,"(−61, −40, 36)",R—Posterior-medial prefrontal cortex,"(6, 28, 33)",0.04,0.11,0.19
SN – ECN,L—Inferior parietal lobule,"(−61, −40, 36)",L—Posterior-medial prefrontal cortex,"(−5, 32, 44)",−0.14,−0.11,0
ECN – ECN (2),L—Inferior parietal lobule,"(−48, −52, 52)",L—Posterior-medial prefrontal cortex,"(−5, 32, 44)",0.19,0.23,0.6
,L—Inferior parietal lobule,"(−48, −52, 52)",R—Posterior-medial prefrontal cortex,"(4, 39, 42)",0.22,0.27,0.15
ECN – DMN,L—Inferior parietal lobule,"(−48, −52, 52)",R—Dorsal prefrontal cortex,"(9, 50, 39)",−0.33,−0.18,−0.18
