Brain region,Hemisphere,BA,MNI coordinates,Peak T value,Cluster size
ALFF,,,,,
Middle temporal gyrus/superior temporal gyrus,Left,22,"−64, −50, 8",5.09,86.0
Precentral gyrus/postcentral gyrus,Left,6/4,"−60, −4, 40",5.23,424.0
Superior temporal gyrus,Right,22/42,"66, −34, 10",7.66,134.0
Precentral gyrus/postcentral gyrus,Right,6/3,"50, −20, 60",6.95,1066.0
Postcentral gyrus/insula,Left,43/13,"−44, −12, 18",5.15,149.0
Postcentral gyrus,Left,40/2,"−38, −32, 50",5.23,109.0
Paracentral lobule/medial frontal gyrus,Bilateral,6,"−10, −34, 54",6.33,791.0
Medial frontal gyrus,Bilateral,6,"−8, −4, 58",6.85,331.0
Postcentral gyrus,Left,2/3,"−56, −28, 52",5.21,173.0
Precentral gyrus,Left,4,"−34, −22, 62",4.87,73.0
fALFF,,,,,
Precentral gyrus/superior temporal gyrus,Right,6,"54, 10, −12",5.1,333.0
Cuneus/middle occipital gyrus,Right,18,"24, −100, 2",5.13,124.0
Precentral gyrus/insula,Left,6/13,"−44, −10, 18",5.58,235.0
Insula,Right,13,"34, 6, 14",4.75,130.0
Precentral gyrus,Right,6,"30, −14, 70",5.0,390.0
ReHo,,,,,
Cuneus/middle occipital gyrus,Right,18/17,"16, −100, 0",5.49,213.0
Middle frontal gyrus,Left,10/11,"−42, 56, −4",5.22,166.0
Middle frontal gyrus,Right,10/11,"42, 58, −2",4.62,101.0
Paracentral lobule/medial frontal gyrus/precuneus,Left,6/5/4,"−10, −36, 54",5.14,97.0
DC,,,,,
Cerebellum posterior lobe,Right,,"36, −82, −28",5.25,163.0
Cerebellum posterior lobe,Left,,"−42, −78, −28",4.87,132.0
Middle frontal gyrus/inferior frontal gyrus,Right,10/11/47,"40, 58, −6",6.49,608.0
Middle frontal gyrus/inferior frontal gyrus/superior frontal gyrus,Left,10/8/47/9,"−38, 60, 2",6.64,1267.0
Angular gyrus/inferior parietal lobule,Left,40/39,"−40, −54, 34",5.62,339.0
Middle frontal gyrus/superior frontal gyrus,Right,9,"40, 36, 44",4.93,247.0
Middle frontal gyrus,Left,9/8,"−30, 32, 34",4.65,224.0
Angular gyrus/inferior parietal lobule,Right,40/7,"44, −64, 50",5.33,219.0
PCC_FC,,,,,
Cerebellum posterior lobe,Right,,"40, −80, −30",4.71,170.0
Middle frontal gyrus/inferior frontal gyrus,Left,11/47,"−36, 34, −12",5.47,140.0
Superior temporal gyrus/angular gyrus,Left,13,"−36, −56, 24",4.68,138.0
