Unnamed: 0_level_0,Brain Regions,Cluster Size,Peak Intensity,Peak MNI Coordinate
Unnamed: 0_level_1,Unnamed: 1_level_1,(mm3),Unnamed: 3_level_1,"x,y,z (mm)"
LFPN,,,,
,Angular_L,459.0,4.0923,−45 −75 30
,Frontal_Sup_Medial_L,540.0,3.5118,−9 33 36
,Frontal_Mid_L,459.0,3.9411,−39 24 45
,Precuneus_L,270.0,4.3838,−12 −72 57
aDMN,,,,
,Frontal_Sup_Medial_L,378.0,3.8797,−3 57 21
,Frontal_Mid_L,648.0,4.0521,−27 33 30
,Frontal_Sup_Medial_R,432.0,4.2036,12 45 45
,Precentral_L,432.0,4.1363,−39 −9 57
CN,,,,
,Fusiform_L,378.0,3.8623,−33 −48 −21
DAN,,,,
,Postcentral_R,405.0,3.5456,63 3 21
,Postcentral_L,324.0,4.3801,−57 −6 30
,Parietal_Inf_L,891.0,4.5272,−39 −57 42
,Parietal_Inf_L,540.0,4.4364,−45 −45 51
,Frontal_Mid_R,1026.0,4.754,39 −6 51
,Precentral_L,270.0,4.6901,−36 −12 51
pDMN,,,,
,Caudate_L,351.0,4.3674,−9 −3 3
,Precuneus_L,378.0,4.6397,−6 −51 48
,Precuneus_R,351.0,3.3809,12 −51 51
RFPN,,,,
,Cingulum_Ant_R,432.0,4.9952,12 48 12
SMN,,,,
,Cingulum_Mid_R,621.0,3.6626,9 −36 45
,Precuneus_L,270.0,3.6859,−15 −45 51
,Postcentral_L,1647.0,4.9895,−21 −30 63
,Precuneus_R,945.0,4.4568,9 −63 60
VAN,,,,
,Frontal_Inf_Orb_L,378.0,4.5632,−27 15 −18
,Putamen_L,405.0,4.6378,−12 6 −3
,Insula_R,270.0,3.9312,42 0 0
,Frontal_Mid_L,297.0,3.92,−48 27 39
,Supp_Motor_Area_L,540.0,4.2135,−3 3 48
