Unnamed: 0,NESDA 1,NESDA 2,NESDA 3,MOTAR,Total
N,32,57,62,36,187
Age (SD),36 (9.52),37.26 (10.26),35.87 (11.51),36.69 (12.37),36.48 (10.93)
N Female (%),19 (59%),39 (68%),43 (69%),23 (66%),124 (66%)
N MDD (%) (no anx. disorder),13 (40%),18 (32%),22 (35%),10 (28%),63 (34%)
N Anxiety disorder (%) (no MDD),11 (34%),13 (22%),21 (34%),2 (6%),47 (25%)
N Comorbid (%),8 (25%),26 (45%),19 (30%),24 (67%),77 (41%)
Current??? IDS (SD),22.31 (9.66),24.66 (11.45),19.93 (12.42),15.81 (10.56),21.11 (11.96)
Current??? IDS categorical none/mild/moderate/severe/very severe,5/16/9/1/1,10/18/22/6/1,22/20/16/2/2,19/10/5/2/0,56/64/52/11/4
Current??? BAI (SD),13.19 (8.45),13.33 (9.73),13.34 (9.35),21.67 (11.95),14.91 (10.34)
Current??? BAI categorical none/mild/moderate/severe,11/3/7/1,22/19/13/3,27/18/12/5,5/11/11/9,65/61/43/18
N in remission (IDS and BAI),3 (9%),10 (18%),16 (25%),5 (14%),34 (18%)
Baseline antidepressant use,7 (21%),20 (35%),23 (37%),0 (0%),50 (26%)
Social phobia,12 (37%),23 (40%),23 (37%),15 (42%),73 (39%)
Panic with agoraphobia,6 (18%),13 (22%),17 (27%),8 (22%),44 (24%)
Panic without agoraphobia,4 (13%),11 (19%),9 (15%),1 (3%),25 (13%)
Agoraphobia,4 (13%),3 (5%),3 (5%),0 (0%),10 (5%)
GAD,7 (22%),16 (28%),15 (24%),7 (19%),45 (24%)
