FCDs,Brain,Cluster,MNI,MNI,MNI,Peak,P value
Unnamed: 0_level_1,regions,voxels,coordinates,coordinates,coordinates,T-value,Unnamed: 7_level_1
Unnamed: 0_level_2,Unnamed: 1_level_2,Unnamed: 2_level_2,X,Y,Z,Unnamed: 6_level_2,Unnamed: 7_level_2
gFCD,Cerebellum_R,26,28,−46,−30,3.9005,< 0.005
,AG_L,29,−39,−57,27,–3.6592,<0.005
,SFC_L,98,−6,33,57,–3.6342,<0.005
lFCD,Cerebellum_R,129,9,−48,−15,4.3797,<0.005
,MCC_R,23,6,−27,42,3.6251,<0.005
,PMC_R,31,21,−9,61,3.5222,<0.005
,Cerebellum_L,36,−15,−39,−21,3.2990,<0.005
lrFCD,OFC_L+R,43,0,48,−21,3.3400,<0.005
,IFC_L,25,−51,19,0,–4.3605,<0.005
,SFC_L,125,−3,42,51,–4.0600,<0.005
,SFC_R,24,18,48,48,–3.8860,<0.005
,AG_L,28,−39,−60,30,–3.7300,<0.005
,MFC_L,46,−42,15,45,–3.5797,<0.005
