Group condition,Area (BA),Voxel size,MNI coordinates (RAI),MNI coordinates (RAI),MNI coordinates (RAI),Peak Z Score
Unnamed: 0_level_1,Unnamed: 1_level_1,Unnamed: 2_level_1,x,y,z,Unnamed: 6_level_1
RA retention,No significant activity,,,,,
RA twirling,B. thalamus,131,0,−15,9,−3.51
RA twirling vs. retention,R.SMA(6),148,18,3,63,−3.49
SA twirling,R.SFG(8),123,15,15,45,−3.80
SA retention,R.SFG(8),114,18,21,45,−3.87
SA twirling vs. retention,No significant activity,,,,,
Retention RA vs.SA,ACC(32/24),66*,3,30,−6,−3.29
,R.PCU(7),35*,9,−42,69,3.29
,R.SMA/SFG(6),65*,18,21,45,3.33
,R.MFG/dlPFC(6),36*,30,9,51,3.89
Twirling RA vs. SA,R.PCU(31),32*,15,−51,36,3.27
,ACC(24),38*,0,24,18,−3.03
Twirling/Retention vs. RA/SA,rACC(25),62*,−3,21,−9,3.84
,R.SMA(6),246,15,3,60,−4.04
