Anatomic region (RSN),Cluster voxel,MNI Coordinates,MNI Coordinates,MNI Coordinates,F-score (peak value)
Anatomic region (RSN),Cluster voxel,x,y,z,F-score (peak value)
Right superior frontal gyrus (ADMN),17,15,36,48,22.892
Posterior cingulate (PDMN),13,−12,−51,18,16.763
Left supplementary motor area (CN),50,16,1,70,16.752
Right supplementary motor area (CN),30,−9,−3,69,16.047
Left superior frontal gyrus (LFPN),27,−15,30,48,19.19
Pars triangularis of right inferior frontal gyrus (RFPN),14,45,31,26,18.939
Left orbital inferior frontal gyrus (SRN),8,−24,27,−9,15.689
Right calcarine sulcus cortex (VN),14,18,−72,15,12.241
