Region #,Region label,Peak coordinatesa
1,R. precentral gyrus,"(41, −13, 44)"
2,R. precuneus,"(17, −79, 35)"
3,L. precentral gyrus,"(−37, −10, 47)"
4,L. precuneus,"(−28, −46, 59)"
5,R. fusiform gyrus,"(23, −58, −19)"
6,R/L. cingulate gyrus,"(2, 11, 44)"
7,R. middle frontal gyrus,"(38, 32, 29)"
8,L. fusiform gyrus 1,"(−25, −49, −7)"
9,L. cuneus,"(−4, −76, 17)"
10,L. middle frontal gyrus,"(−37, 32, 32)"
11,L. middle occipital gyrus,"(−22, −85, 20)"
12,L. fusiform gyrus 2,"(−28, −67, −16)"
13,R. middle occipital gyrus,"(53, −61, 2)"
14,R. cerebellum VIII,"(14, −61, −37)"
15,L. cerebellum crus II,"(−31, −67, −40)"
