RFC,Voxel,Xcm,Ycm,Zcm,β (103),r,p,Annotation
CSI,239.0,+ 2.1,+ 63.0,+ 47.9,9.50,0.459,<0.01,Precuneus
,152.0,+ 3.4,–47.3,+ 30.1,–9.72,–0.389,<0.01,Superior and MFG
,62.0,–38.5,+ 55.3,–35.5,9.57,0.354,<0.01,R-IPL
CSIN,237.0,+ 0.0,+ 53.1,+ 27.3,12.29,0.413,<0.01,PCC
,171.0,–42.6,–10.4,+ 11.0,12.36,0.411,<0.01,R-insula cortex
,161.0,–2.3,+ 28.2,+ 59.4,–11.05,–0.371,<0.01,Paracentral lobule
,153.0,–49.1,+ 47.6,+ 41.2,11.62,0.441,<0.01,R-IPL
,133.0,–39.8,+ 25.7,+ 55.5,–10.99,–0.325,<0.01,R-postcentral gyrus
,75.0,–27.3,–3.8,–34.0,–9.99,–0.450,<0.01,R-PHC
,67.0,–56.8,+ 14.6,+ 5.9,–9.28,–0.400,<0.01,R-STG
,58.0,+ 18.4,+ 0.4,–18.9,–9.36,–0.441,<0.01,L-PHC
,56.0,+ 42.0,+ 25.9,+ 57.1,–10.38,–0.309,<0.01,L-postcentral gyrus
,713.0,+ 2.0,–45.4,+ 23.6,–10.37,–0.487,<0.01,Superior and MFG
CSIP,157.0,–1.1,+ 14.7,–17.8,7.96,0.506,<0.01,Putamen
,110.0,+ 55.7,+ 13.1,–19.5,–9.49,–0.433,<0.01,L-MTG
,75.0,+ 2.7,+ 48.5,+ 31.1,–9.01,–0.336,<0.01,PCC
,53.0,–40.0,–8.7,+ 0.8,–8.48,–0.361,<0.01,R-insula cortex
,52.0,+ 45.1,–10.5,–8.9,–8.36,–0.376,<0.01,L-insula cortex
CSIN CSIP,70.0,+ 2.8,+ 49.0,+ 31.0,14.15,0.374,<0.01,PCC (CSIN)
,,,,,13.37,0.362,<0.01,PCC (CSIP)
,34.0,–40.8,–10.0,+ 0.0,–9.04,–0.334,<0.01,R-Insula cortex (CSIN)
,,,,,–8.63,–0.336,<0.01,R-Insula cortex (CSIP)
