RFC,Voxel,Xcm,Ycm,Zcm,β (103),r,p(10–3),Notations
CDIN,216,+ 0.1,+ 51.9,+ 29.2,–13.81,–0.376,<0.01,PCC
,103,+ 0.5,+ 28.2,+ 57.6,12.16,0.366,<0.01,Paracentral lobule
,92,–48.2,+ 47.0,+ 42.1,–13.32,–0.431,<0.01,R-IPL
,72,–38.7,+ 26.2,+ 57.2,11.91,0.326,<0.01,R-post central gyrus
,44,+ 21.2,–4.7,–20.6,9.95,0.430,<0.01,L-PHC
,38,–41.9,–12.4,+ 5.0,–15.16,–0.374,<0.01,R-insula cortex
,29,+ 20.8,–4.0,–20.0,8.75,0.371,<0.01,L-STG
,29,–1.5,–14.4,+ 39.5,–11.66,–0.355,<0.01,Anterior cingulate cortex
,28,+ 44.0,+ 24.1,+ 57.1,10.37,0.297,<0.01,L-post central gyrus
,20,–45.2,+ 18.4,+ 9.6,9.20,0.364,<0.01,R-STG
CDIP,567,+ 4.2,–46.9,+ 24.8,–12.20,–0.480,<0.01,Superior and MFG
,136,–9.4,+ 21.2,–22.3,8.53,0.452,<0.01,Putamen
,30,+ 57.0,+ 15.8,–15.8,–10.09,–0.387,<0.01,L-MTG
