Averaged connections,Younger adults,Younger adults.1,Older adults,Older adults.1
FPN‐FPN,0.58,[0.53–0.63],0.42,[0.34–0.49]
Salience‐Salience,0.46,[0.41–0.50],0.27,[0.22–0.32]
FPN‐Salience,0.25,[0.18–0.31],0.04,[÷0.02–0.10]
FPN‐DAN,÷0.06,[÷0.11 to ÷0.01],0.10,[0.03–0.18]
Salience‐DAN,0.02,[÷0.03–0.06],0.14,[0.09–0.19]
FPN‐DMN,÷0.04,[÷0.10–0.02],0.11,[0.06–0.16]
DAN‐DMN,0.02,[÷0.05–0.08],0.15,[0.09–0.22]
Salience‐DMN,÷0.13,[÷0.16 to ÷0.09],0.05,[0.01–0.09]
FPN‐SMN,÷0.23,[÷0.28 to ÷0.18],÷0.07,[÷0.14–0.001]
DAN‐SMN,0.23,[0.17–0.29],0.30,[0.25–0.35]
Salience‐SMN,÷0.01,[÷0.05–0.03],0.13,[0.10–0.17]
