Region A,Region B,Hypothesis on FC
Posterior cingulate cortex,Ventromedial prefrontal cortex,Decreased???
Posterior cingulate cortex,Dorsomedial prefrontal cortex,Decreased???
Anterior insula,Dorsal anterior cingulate cortex,Decreased???
Dorsolateral prefrontal cortex,Amygdala,"Increased???,???"
Anterior insula,Ventromedial prefrontal cortex,Decreased???
Posterior-mid insula,Ventromedial prefrontal cortex,Decreased???
Amygdala,Dorsal anterior cingulate cortex,"Decreased???,???"
Amygdala,Temporal pole,Increased???
Amygdala,Ventromedial prefrontal cortex,"Increased???,???"
Amygdala,Anterior insula,"Increased???,???"
Amygdala,Posterior/mid insula,"Increased???,???"
