ROI-to-ROI FC,ROI-to-ROI FC,FEFL–FEFR,FEFL–FEFR,FEFL–IPSL,FEFL–IPSL,FEFR–IPSR,FEFR–IPSR,IPSR–IPSL,IPSR–IPSL,DAN-FC,DAN-FC
Task performance,Session,r,p,r,p,r,p,r,p,r,p
Posner RT mean,Pre,0.114,0.573,0.043,0.832,0.108,0.592,–0.200,0.318,0.051,0.802
,Post,0.389,0.045,0.263,0.185,0.098,0.628,0.073,0.716,0.225,0.26
,Post–Pre,0.208,0.297,0.176,0.38,0.137,0.496,0.364,0.062,0.246,0.216
Posner RT change Run 1–3,Pre,0.469,0.013,0.354,0.07,–0.353,0.07,0.060,0.765,0.275,0.165
,Post,–0.299,0.13,–0.224,0.261,−0.676,0.0,–0.440,0.022,−0.581,0.001
,Post–Pre,−0.635,0.0,−0.563,0.002,–0.394,0.042,–0.379,0.051,−0.651,0.0
Posner RT invalid–valid,Pre,0.288,0.145,–0.123,0.542,–0.235,0.238,–0.325,0.098,–0.214,0.285
,Post,0.287,0.147,–0.210,0.293,–0.371,0.057,–0.370,0.058,–0.238,0.232
,Post–Pre,0.072,0.721,0.030,0.882,–0.256,0.197,–0.125,0.534,–0.059,0.769
Posner RT invalid–valid,Pre,–0.116,0.565,0.121,0.548,0.355,0.069,–0.090,0.654,–0.023,0.909
change Run 1–3,Post,0.026,0.897,0.335,0.087,0.189,0.344,–0.106,0.598,0.079,0.694
,Post–Pre,0.090,0.656,0.294,0.137,0.058,0.774,0.031,0.877,0.164,0.413
Visual Search RT mean,Pre,0.527,0.005,0.085,0.672,–0.364,0.062,–0.021,0.916,0.137,0.496
,Post,–0.017,0.933,–0.276,0.164,−0.502,0.008,–0.366,0.06,–0.415,0.031
,Post–Pre,–0.367,0.06,–0.393,0.042,–0.274,0.166,–0.358,0.066,–0.454,0.017
Visual search RT,Pre,0.288,0.146,0.521,0.005,–0.077,0.703,0.266,0.18,0.412,0.033
change Run 1–3,Post,0.070,0.73,0.139,0.491,–0.204,0.308,–0.185,0.356,–0.127,0.528
,Post–Pre,–0.101,0.617,–0.151,0.453,–0.119,0.554,–0.412,0.033,–0.281,0.155
Landmark ER mean,Pre,0.329,0.094,–0.002,0.992,0.401,0.038,–0.034,0.865,0.292,0.139
,Post,0.360,0.065,0.311,0.115,0.119,0.554,0.274,0.164,0.329,0.094
,Post–Pre,0.026,0.896,0.323,0.1,–0.281,0.156,0.238,0.233,0.094,0.64
Landmark ER change Run 1–3,Pre,0.140,0.485,0.036,0.859,–0.091,0.65,–0.031,0.88,0.023,0.911
,Post,0.047,0.814,0.159,0.428,–0.122,0.546,–0.080,0.69,–0.007,0.973
,Post–Pre,–0.131,0.514,0.046,0.82,–0.053,0.795,0.012,0.952,–0.051,0.8
