Region,Cluster size (voxels),z-value,MNI coordinate,MNI coordinate,MNI coordinate
Unnamed: 0_level_1,Unnamed: 1_level_1,Unnamed: 2_level_1,x,y,z
HAND-DRAWN ROIs (DATASET 1),HAND-DRAWN ROIs (DATASET 1),HAND-DRAWN ROIs (DATASET 1),HAND-DRAWN ROIs (DATASET 1),HAND-DRAWN ROIs (DATASET 1),HAND-DRAWN ROIs (DATASET 1)
VTA seed,,,,,
VTA,1545,5.33,−2,−26,−16
White matter,355,3.65,−20,−48,26
SN seed,SN seed,SN seed,SN seed,SN seed,SN seed
SN,1767,4.99,6,−28,−18
Thalamus???,,4.60,8,−16,−4
Pallidum???,,3.65,−18,−16,−2
PCC,1031,4.45,4,−42,14
Angular Gyrus (Right),617,4.29,54,−54,18
Angular Gyrus (Left),503,3.96,−54,−60,26
ASIAN-VTA SEED (DATASET 1),ASIAN-VTA SEED (DATASET 1),ASIAN-VTA SEED (DATASET 1),ASIAN-VTA SEED (DATASET 1),ASIAN-VTA SEED (DATASET 1),ASIAN-VTA SEED (DATASET 1)
VTA,1281,6.26,2,−22,−20
Brain stem (Pons),917,4.59,−18,−20,−20
PCC,249,4.08,6,−24,38
ASIAN-VTA SEED (DATASET 2),ASIAN-VTA SEED (DATASET 2),ASIAN-VTA SEED (DATASET 2),ASIAN-VTA SEED (DATASET 2),ASIAN-VTA SEED (DATASET 2),ASIAN-VTA SEED (DATASET 2)
VTA,16625,14.8,−2,−24,−18
Frontal pole,6476,5.45,−16,38,54
Precuneus cortex,1769,4.90,−4,−60,18
Lateral occipital cortex,580,4.70,−48,−72,38
Cerebellum,227,4.30,36,−78,−48
Amygdala???,,5.36,−24,−8,−24
Middle temporal gyrus???,,5.47,−54,−12,−22
ASIAN-SN SEED (DATASET 1),ASIAN-SN SEED (DATASET 1),ASIAN-SN SEED (DATASET 1),ASIAN-SN SEED (DATASET 1),ASIAN-SN SEED (DATASET 1),ASIAN-SN SEED (DATASET 1)
SN,1219,5.34,10,−22,−16
Thalamus???,,2.98,8,−12,−4
Pallidum???,,2.97,−24,−16,−2
Occipital fusiform gyrus,374,4.11,−32,−66,−20
ASIAN-SN SEED (DATASET 2),ASIAN-SN SEED (DATASET 2),ASIAN-SN SEED (DATASET 2),ASIAN-SN SEED (DATASET 2),ASIAN-SN SEED (DATASET 2),ASIAN-SN SEED (DATASET 2)
SN,19229,13.0,8,−22,−18
Thalamus???,,6.38,10,−24,−6
Pallidum???,,5.00,−20,−12,−2
Angular gyrus,155,3.71,52,−50,58
PCC,24,2.95,−8,−36,24
Precuneus,21,2.93,−24,−52,6
Superior frontal gyrus,10,3.01,20,18,68
