(A),Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0
Group,Connection,From MPFC,From PCC,From LIPC,From RIPC
Patient,To MPFC,0,0.02 ± 0.001,0,0.2 ± 0.003
,To PCC,0.02 ± 0.001,0,0.07 ± 0.005,0.13 ± 0.002
,To LIPC,0.19 ± 0.004,0,0,0.02 ± 0.001
,To RIPC,0,0,0.02 ± 0.001,0
Healthy control,To MPFC,0,0,0,0.11 ± 0.001
,To PCC,0,0,0.07 ± 0.001,0.11 ± 0.001
,To LIPC,0.22 ± 0.003,0,0,0
,To RIPC,0,0,0,0
(B),,,,,
Group,Connection,From L-FEF,From R-FEF,From L-IPS,From R-IPS
Patient,To L-FEF,0,0,0.2 ± 0.003,0.03 ± 0.001
,To R-FEF,0,0,0.01 ± 0.002,0.01 ± 0.001
,To L-IPS,0.04 ± 0.002,0.2 ± 0.004,0,0
,To R-IPS,0.13 ± 0.006,0.13 ± 0.003,0,0
Healthy control,To L-FEF,0,0,0.017 ± 0.001,0.15 ± 0.001
,To R-FEF,0,0,0.04 ± 0.003,0.13 ± 0.002
,To L-IPS,0.15 ± 0.002,0.02 ± 0.0,–0,0
,To R-IPS,−0.002 ± 0.001,−0.003 ± 0.0,0,0
(C),(C),,,,
Connection,Connection,From MPFC,From PCC,From LIPC,From RIPC
To MPFC,To MPFC,0,0.7,0,0.6
To PCC,To PCC,0.7,0,0,0.07
To LIPC,To LIPC,5.50E-05,0,0,0.05
To RIPC,To RIPC,0,0,0.7,0
(D),(D),,,,
Connection,Connection,From L-FEF,From R-FEF,From L-IPS,From R-IPS
To L-FEF,To L-FEF,0,0,0.9,2.20E-14
To R-FEF,To R-FEF,0,0,3.50E-07,7.70E-11
To L-IPS,To L-IPS,1.30E-10,0.8,0,0
To R-IPS,To R-IPS,0.7,0.8,0,0
