Seed location,Cluster Size (voxels),Z,Max Voxels (mm),Max Voxels (mm),Max Voxels (mm),Side,Broadmann Area (Topographical location of seed)
Seed location,Cluster Size (voxels),Z,X,Y,Z,Side,Broadmann Area (Topographical location of seed)
Controls,Controls,Controls,Controls,Controls,Controls,Controls,Controls
D M1,"11,789",5.31,−2,−30,68,NDD,"3b*, 4a*, 4p*, 6*, 1, 2, 3a, 5L, 5M(M1: 3b*, 4a*, 4p*, 6*), 1, 2, 3a, 5L, 5M, 43, 5Ci"
,"1,037",4.22,−18,−82,48,D/ND,"17,18"
ND M1,"11,754",5.42,−4,−28,68,DND,"3b*, 4a*, 4p*, 6*, 1, 2, 3a, 5L, 5M(M1: 3b*, 4a*, 4p*, 6*), 1, 2, 3a, 5L, 5M, 43, 5Ci, 7PC"
,615,4.05,16,−86,22,D/ND,18
D S1,"10,340",5.2,−34,−38,56,NDD,"1*, 2*, 3b*, 4a*, 5L, 6(S1: 1*, 2*, 3b*, 4a*), 5L, 6, 7PC, 40, 3a, 4p, 5M, 7A, 43"
,"1,455",4.42,−6,−84,28,D/ND,"17, 18"
ND S1,"12,124",5.22,20,−36,68,DND,"2*, 3b*, 4a*, 3a, 4p, 5L, 5M, 6(S1: 2*, 3b*, 4a*, 3a), 4p, 5L, 5M, 6, 1*, 7PC, 40, 43"
,"1,100",4.24,−4,−84,28,D/ND,18
Strokes,Strokes,Strokes,Strokes,Strokes,Strokes,Strokes,Strokes
A M1,"8,246",5.46,44,−26,46,NAA,"3b*, 4a*, 4p*, 6*, 2(M1: 3b*, 4a*, 4p*, 6*), 2, 1, 3a, 5L, 5M, 5Ci, 7PC, 40"
NA M1,"8,254",5.23,−48,−16,48,ANA,"3b*, 4a*, 4p*, 6*, 1, 2, 3a, 5M(M1: 3b*, 4a*, 4p*, 6*), 1, 2, 3a, 5M, 5Ci, 5l, 7PC"
A S1,"7,481",5.43,56,−24,52,NAA,"2*, 3b*, 4p(S1: 2*, 3b*, 4p, 1*, 4a*), 3a, 5L, 6, 7PC, 40"
NA S1,"7,320",5.12,−34,−44,64,ANA,"4a*, 4p, 5Ci, 6, 40(S1: 4a*, 1*, 2*, 3b*), 4p, 5Ci, 6, 40, 3a, 5L, 5M, 7A, 7PC, 43"
