Unnamed: 0,CTR,BS,UHR,Statistical evaluation
N,29,25,18,
Gender (f:m),13:16,8:17,9:9,"χ2 = 1.6, n.s."
Handedness (r:l:b),25:2:2,22:1:2,17:1:0,"χ2 = 1.7, n.s."
Age (years),22.8 ± 5.0,21.0 ± 4.5,20.8 ± 4.1,"F = 1.6, n.s."
Estimated intelligence,111.7 ± 14.5,101.0 ± 11.6,95.0 ± 7.1,"F = 0.9, n.s."
SIPS (Positive),–,4.7 ± 2.8,9.0 ± 4.3,"U = −3.4, p < 0.001"
SIPS (Negative),–,7.8 ± 4.6,11.9 ± 5.7,"U = −2.4, p = 0.1"
SIPS (General),–,6.2 ± 2.8,7.5 ± 3.9,"U = −1.5, n.s."
SIPS (Disorganization),–,2.8 ± 2.1,4.4 ± 2.0,"U = −2.9, p = 0.004"
GAF,–,64.7 ± 12.9,59.8 ± 11.9,"U = −1.1, n.s."
CPZ equivalents,–,18.00 ± 51.5,118.3 ± 490,"T = 1.2, n.s."
