Unnamed: 0_level_0,voxels,Peak Coordinates (MNI),Peak Coordinates (MNI),Peak Coordinates (MNI),t-value
Unnamed: 0_level_1,Unnamed: 1_level_1,x,y,z,Unnamed: 5_level_1
Baseline < HC Right insula,202,42,9,0,−11.19
Left insula,202,−42,9,0,−11.19
Right amygdala,39,27,−3,−12,−7.84
Left amygdala,39,−27,−3,−12,−7.84
Right medial frontal cortex,32,24,36,−12,−4.95
Left medial frontal cortex,32,−24,36,−12,−4.95
Right putamen,152,21,21,3,−5.99
Left putamen,152,−21,21,3,−5.99
Right pallidum,40,24,−3,6,−6.01
Left pallidum,40,−24,−3,6,−6.01
Right anterior cingulate cortex,39,9,33,15,−4.39
Left anterior cingulate cortex,39,−9,33,15,−4.39
Right middle cingulate cortex,60,3,9,30,−5.21
Left middle cingulate cortex,60,−3,9,30,−5.21
Follow-up > Baseline,Follow-up > Baseline,Follow-up > Baseline,Follow-up > Baseline,Follow-up > Baseline,Follow-up > Baseline
Right insula,186,42,9,0,10.59
Left insula,186,−42,9,0,10.59
Right amygdala,30,27,−3,−12,7.15
Left amygdala,30,−27,−3,−12,7.15
Right medial frontal cortex,43,18,48,6,3.72
Left medial frontal cortex,43,−18,48,6,3.72
Right putamen,134,21,21,3,5.46
Left putamen,134,−21,21,3,5.46
Right pallidum,23,24,−6,6,4.95
Left pallidum,23,−24,−6,6,4.95
Right middle temporal gyrus,25,60,−6,−24,3.65
Left middle temporal gyrus,25,−60,−6,−24,3.65
