Brain region,BA,Volume (mm3),MNI coordinates,MNI coordinates,MNI coordinates,T value,Z value
Brain region,BA,Volume (mm3),X,Y,Z,T value,Z value
PCC,PCC,PCC,PCC,PCC,PCC,PCC,PCC
Mask > no mask,Mask > no mask,Mask > no mask,Mask > no mask,Mask > no mask,Mask > no mask,Mask > no mask,Mask > no mask
Lingual_L,18,"4,428",−19,−83,−1,4.03,3.23
Calcarine_L,17,"3,726",−4,−70,11,3.82,3.11
Fusiform_R,37,"3,429",31,−48,−12,3.44,2.88
Lingual_R,17,"3,213",2,−64,9,3.24,2.75
Occipital_Mid_L,19,"3,213",−30,−75,12,5.03,3.74
Postcentral_L,3,"2,673",−30,−33,48,5.45,3.93
Occipital_Sup_R,18,1809,20,−74,20,3.66,3.01
Precentral_L,6,"1,620",−34,−12,49,3.82,3.11
Fusiform_L,37,"1,242",−28,−51,−11,2.83,2.47
Rolandic_Oper_L,41,729,−39,−36,15,3.68,3.02
Precentral_R,3,594,30,−27,51,4.44,3.44
Mask < no mask,Mask < no mask,Mask < no mask,Mask < no mask,Mask < no mask,Mask < no mask,Mask < no mask,Mask < no mask
Frontal_Sup_Medial,10,"1,269",0,63,21,3.23,2.74
Frontal_Inf_Orb_R,47,729,27,27,−18,4.93,3.69
Frontal_Mid_R,46,729,27,48,30,4.61,3.53
MPFC,MPFC,MPFC,MPFC,MPFC,MPFC,MPFC,MPFC
Mask > no mask,Mask > no mask,Mask > no mask,Mask > no mask,Mask > no mask,Mask > no mask,Mask > no mask,Mask > no mask
Temporal_Inf_L,20,"1,539",−54,−6,−39,3.94,3.18
Occipital_Mid_R,19,"1,512",39,−87,12,5.03,3.74
Temporal_Pole_Mid_R,20,837,39,18,−42,3.64,3.00
Occipital_Mid_L,19,756,−39,−81,−6,3.40,2.85
Temporal_Inf_R,37,702,48,−51,−21,3.26,2.76
Lingual_R,18,594,9,−87,−6,3.07,2.64
Mask < no mask,Mask < no mask,Mask < no mask,Mask < no mask,Mask < no mask,Mask < no mask,Mask < no mask,Mask < no mask
Postcentral_L,3,"2,133",−60,−15,39,3.75,3.06
SupraMarginal_L,48,754,−51,−38,30,2.71,2.38
Precentral_L,6,609,−46,−3,23,4.13,3.28
Paracentral_Lobule_L,6,540,−6,−12,75,7.07,4.54
Postcentral_R,3,540,51,−18,39,3.47,2.90
Hippocampus_L,27,540,−17,−35,7,2.42,2.18
