Center,Scanner,TR,TE,FA,FOV,Matrix,Resolution,Slices,Thickness,Gap,Volume
Center,Scanner,(ms),(ms),(°),(mm2),Matrix,(mm2),Slices,(mm),(mm),Volume
CMU,GE HDxT 3 T,2000,40,90,240 × 240,64 × 64,3.75 × 3.75,35,3.0,0.0,200
CSU,GE HDxT 3 T,2000,30,90,220 × 220,64 × 64,3.44 × 3.44,33,4.0,0.6,180
GCMU1,GE HDxT 3 T,2000,30,90,220 × 220,64 × 64,3.44 × 3.44,36,3.0,1.0,185
GCMU2,GE HDxT 3 T,2000,30,90,240 × 240,64 × 64,3.75 × 3.75,33,4.0,0.0,250
KMU,PHILIPS Achieva 3 T,2200,35,90,230 × 230,128 × 128,1.80 × 1.80,50,3.0,0.0,240
PKU,Siemens Trio 3 T,2000,30,90,210 × 210,64 × 64,3.28 × 3.28,30,4.0,0.8,210
SCU,GE EXCITE 3 T,2000,30,90,220 × 220,64 × 64,3.44 × 3.44,30,5.0,0.0,200
SWU,Siemens Trio 3 T,2000,30,90,220 × 220,64 × 64,3.44 × 3.44,32,3.0,1.0,242
YMU,Siemens Trio 3 T,2500,27,77,220 × 220,64 × 64,3.44 × 3.44,43,3.4,0.0,200
ZZU,GE MR750 3 T,2000,40,90,220 × 220,64 × 64,3.44 × 3.44,32,4.0,0.5,180
