Unnamed: 0_level_0,Internet addiction group (n = 28),Healthy control group (n = 30),P-value???
Unnamed: 0_level_1,m ± sd,m ± sd,Unnamed: 3_level_1
Age (years),21.32 ± 1.96,21.73 ± 2.08,0.45
Gender (male/female),21/7,22/8,0.89
Education (years),15.21 ± 1.84,15.77 ± 1.82,0.26
Internet use (years),8.14 ± 2.84,8.23 ± 2.33,0.90
Framewise displacement,0.030 ± 0.011,0.031 ± 0.011,0.79
Young's internet addiction test (IAT),73.89 ± 6.76,29.90 ± 7.18,<0.001
Yale-Brown Obsessive Compulsive Scale (YBOCS),15.64 ± 7.40,4.30 ± 5.07,<0.001
Barratt Impulsiveness Scale-11 (BIS-11),79.57 ± 9.37,62.53 ± 8.57,<0.001
