AAL Regions,Cluster voxels,MNI coordinates,MNI coordinates,MNI coordinates,Peak T-value,P uncorrected
Unnamed: 0_level_1,Unnamed: 1_level_1,X,Y,Z,Unnamed: 5_level_1,Unnamed: 6_level_1
CER_L,29,−39,−39,−33,4.2465,<0.01
STP_R,32,9,9,−15,3.8903,<0.01
STP_L,57,−21,10,−30,3.8258,<0.01
PHG_L,40,−21,0,−30,4.1046,<0.01
CAL_R,173,15,−81,9,−5.5509,<0.01
CAL_L,87,3,−85,7,−4.3274,<0.01
LING_R,156,10,−66,4,−4.3057,<0.01
LING_L,53,−6,−82,0,−3.2804,<0.01
SMG_R,42,63,−48,42,−3.6324,<0.01
IPC_R,34,59,−49,42,−3.4958,<0.01
MCC_R,74,9,−15,36,3.7217,<0.01
MCC_L,24,−7,−17,39,3.5067,<0.01
SFG_R,40,21,−3,57,3.6759,<0.01
