Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Cluster,Peak,Peak,Peak,Unnamed: 7_level_0,Unnamed: 8_level_0
Seed,Connectivity peak,Hemisphere,Size,X,Y,Z,T,Cohen’s d
Right NAc,MTG,L,151,–63,–36,3,–4.34,–0.45
,ITG,L,95,–60,–30,–24,–4.58,–0.47
,MFG,L,302,–39,27,45,–4.44,–0.46
,IFGtriang,L,215,–48,42,0,–4.43,–0.46
,PreCG,L,130,–48,3,51,–4.11,–0.42
,ORBinf,L,109,–51,27,–9,–4.26,–0.44
,IFGoperc,L,85,–48,12,3,–4.80,–0.49
,INS,L,81,–39,6,3,–4.55,–0.47
,ORBsupmed,L,67,0,57,–3,–4.22,–0.43
,ORBsup,L,43,–15,42,–24,–5.21,–0.54
,REC,L,39,–12,45,–18,–3.93,–0.40
,SFGmed,L,36,0,57,1,–4.43,–0.46
,ACC,L,33,–12,42,–3,–4.09,–0.42
,SFGmed,R,21,3,54,3,–4.13,–0.43
