Brain areas,group,pre-test(M±SD),post-test(M±SD)
between L. cerebellar hemispheric IV-Vand R. cerebellar hemispheric VIII,control,0.33±0.18,0.12±0.18
between L. cerebellar hemispheric IV-Vand R. cerebellar hemispheric VIII,experimental,0.10±0.12,0.26±0.11
between R. cerebellar hemispheric IV-Vand R. brainstem pons,control,0.51±0.19,0.27±0.21
between R. cerebellar hemispheric IV-Vand R. brainstem pons,experimental,0.29±0.15,0.46±0.16
between R. cerebellar hemispheric VIIIand R. hippocampus,control,0.44±0.20,0.22±0.21
between R. cerebellar hemispheric VIIIand R. hippocampus,experimental,0.26±0.17,0.45±0.11
between R. cerebellar hemispheric VIIIand L. middle cingulate gyrus,control,0.37±0.12,0.19±0.17
between R. cerebellar hemispheric VIIIand L. middle cingulate gyrus,experimental,0.14±0.07,0.27±0.12
between cerebellar vermal IXand R. cerebellar hemispheric VIII,control,0.55±0.25,0.22±0.23
between cerebellar vermal IXand R. cerebellar hemispheric VIII,experimental,0.32±0.19,0.47±0.15
between cerebellar vermal IXand R. cerebellar hemispheric VIII,control,0.69±0.21,0.45±0.16
between cerebellar vermal IXand R. cerebellar hemispheric VIII,experimental,0.49±0.15,0.65±0.12
