Graph measures,Tinnitus‐EG (n = 28),Tinnitus‐IG (n = 32),Controls (n = 57),p value
Structural network,Structural network,Structural network,Structural network,Structural network
Gamma (γ),25.42 ± 1.89,24.51 ± 2.23,25.37 ± 2.72,.219
Lambda (λ),2.44 ± 0.09,2.45 ± 0.12,2.53 ± 0.16,.008
Sigma (σ),10.42 ± 0.83,10.01 ± 0.84,10.06 ± 0.97,.144
Cp,0.20 ± 0.01,0.20 ± 0.02,0.19 ± 0.01,.495
Lp,14.76 ± 0.98,14.92 ± 2.17,15.93 ± 1.75,.003
Eg,0.07 ± 0.004,0.07 ± 0.007,0.06 ± 0.007,.001
Eloc,0.21 ± 0.01,0.21 ± 0.02,0.21 ± 0.02,.469
Functional network (AUC),Functional network (AUC),Functional network (AUC),Functional network (AUC),Functional network (AUC)
Gamma (γ),0.77 ± 0.14,0.76 ± 0.12,0.76 ± 0.14,.970
Lambda (λ),0.48 ± 0.01,0.48 ± 0.01,0.48 ± 0.01,.944
Sigma (σ),0.71 ± 0.10,0.70 ± 0.11,0.70 ± 0.13,.979
Cp,0.28 ± 0.01,0.28 ± 0.01,0.28 ± 0.01,.554
Lp,0.81 ± 0.04,0.81 ± 0.03,0.81 ± 0.04,.967
Eg,0.26 ± 0.007,0.26 ± 0.006,0.26 ± 0.008,.982
Eloc,0.36 ± 0.005,0.35 ± 0.005,0.36 ± 0.005,.104
Coupling,−0.17 ± 0.09,−0.16 ± 0.08,−0.212 ± 0.07,.013
