Seed,Seed,Cluster,Cluster,Cluster,Cluster,Cluster,n-BMI (N = 23),n-BMI (N = 23),h-BMI (N = 15),h-BMI (N = 15),n-BMI vs. h-BMI,n-BMI vs. h-BMI,BFM %,BFM %
funPar #,AAL,AAL,# Vox,CM RL,CM AP,CM IS,μ,SE,μ,SE,t,p,r,p
1,PreCG-L,SMG-L,2,39.5,23.0,23.5,-0.1,0.06,0.3,0.07,-4.26,0.0001,0.51,0.0009
14,SFGdor-L,REC-L,11,1.0,-26.2,-12.0,-0.18,0.07,0.34,0.09,-4.79,0.0,0.59,0.0001
41,ORBmid-L,MGF-L,29,24.0,-23.6,18.2,-0.09,0.07,0.45,0.11,-4.39,0.0001,0.39,0.0165
41,ORBmid-L,MGF-L,28,26.4,-7.0,31.4,-0.14,0.07,0.37,0.09,-4.46,0.0001,0.45,0.0051
42,ORBmid-R,MTG-L,26,34.0,24.0,-3.6,-0.19,0.07,0.35,0.09,-4.74,0.0,0.54,0.0005
66,SFGmed-L,PoCG-L,6,40.5,5.5,19.0,-0.29,0.06,0.17,0.07,-5.29,0.0,0.55,0.0004
72,REC-L,MGF-L,47,13.7,-0.6,36.1,-0.23,0.06,0.33,0.09,-5.72,0.0,0.63,0.0
106,PHG-R,SPG-R,24,-15.6,56.6,29.1,-0.14,0.07,0.34,0.07,-4.58,0.0001,0.6,0.0001
128,MOG-R,FFG-R,28,-16.7,40.5,-6.9,-0.11,0.05,0.45,0.09,-5.85,0.0,0.52,0.0008
129,MOG-R,LING-R,15,-15.3,40.9,-5.9,0.0,0.05,0.54,0.09,-5.49,0.0,0.52,0.0007
139,FFG-R,SOG-R,54,-16.2,58.0,20.0,-0.01,0.05,0.49,0.1,-5.14,0.0,0.43,0.007
146,PoCG-R,PreCG-R,2,-25.0,15.5,38.5,0.7,0.08,1.33,0.1,-4.82,0.0,0.56,0.0002
174,CAU-R,ORBinf-R,5,-10.3,-10.3,-9.5,0.25,0.06,-0.29,0.09,5.42,0.0,-0.66,0.0
192,STG-R,PUT-R,6,-17.5,11.0,5.5,-0.2,0.06,0.22,0.08,-4.13,0.0002,0.41,0.0113
207,TPOmid-L,MCG-L,43,-0.6,32.4,27.5,0.31,0.07,-0.21,0.09,4.45,0.0001,-0.46,0.0035
207,TPOmid-L,SOG-L,4,17.0,47.0,26.5,0.29,0.07,-0.2,0.11,3.91,0.0004,-0.45,0.0043
212,ITG-L,LING-R,14,-13.0,59.6,-6.9,-0.33,0.08,0.15,0.08,-4.22,0.0002,0.38,0.0179
