Resting-State Network,Locations of Regions of Interest
Executive control network (ECN),Primary somatosensory cortex
,Dorsolateral prefrontal cortex
,Anterior prefrontal cortex
,Orbitofrontal cortex
,Insular cortex
,Ventral anterior cingulate cortex
,Dorsal anterior cingulate cortex
Cerebellar network (CERE),Cerebellum
Visual network (VIS),Primary visual cortex
,Secondary visual cortex
,Associative visual cortex
Sensorimotor network (SMN),Primary motor cortex
,Somatosensory association cortex
,Premotor cortex
Auditory network (AUD),Superior temporal gyrus
,Auditory cortex
Default mode network (DMN),Hippocampus
,Anterior prefrontal cortex
,Orbitofrontal cortex
,Inferior temporal gyrus
,Ventral posterior cingulate cortex
,Retrosplenial cingular cortex
,Dorsal posterior cingular cortex
,Anterior entorhinal cortex
,Parahippocampal cortex
