Unnamed: 0,N,Minimum,Maximum,Mean,Std. Dev.
Age,10,66,75,69.4,2.5
Education,10,14,20,16.9,1.9
BAI,10,0,5,0.9,1.9
BDI,10,0,5,1.9,1.8
MMSE,10,27,30,28.9,1.1
BCRS,10,8,9,8.3,0.5
GDS,10,1,2,1.3,0.5
DRS Total Scaled,10,10,15,11.8,1.6
TOPF Standardized Score,10,110,127,119.8,5.7
RBANS Total Scaled,10,88,137,109.4,15.4
D-KEFS Letter Fluency,10,9,18,13.6,3.2
D-KEFS Category Fluency,10,9,16,13.5,2.1
D-KEFS Category Switching Responses,10,11,16,13.2,1.6
D-KEFS Category Switching Accuracy,10,10,16,12.6,1.9
D-KEFS Visual Scanning,10,9,15,12.7,2.1
D-KEFS Number Sequencing,10,12,16,13.5,1.4
D-KEFS Letter Sequencing,10,12,14,13.3,0.8
D-KEFS Number-Letter Switching,10,10,15,12.7,1.5
D-KEFS Trails Composite Score,10,13,16,14.4,1.3
