Subject ID,EO_left SMN,EO_right SMN,EC_left SMN,EC_right SMN
Sub001,4.0,9.0,45.0,3.0
Sub002,31.0,45.0,14.0,0.0
Sub003,30.0,24.0,3.0,5.0
Sub004,63.0,59.0,86.0,3.0
Sub005,10.0,23.0,52.0,0.0
Sub006,3.0,7.0,24.0,35.0
Sub007,12.0,85.0,4.0,25.0
Sub008,16.0,58.0,28.0,60.0
Sub009,52.0,59.0,26.0,25.0
Sub011,38.0,45.0,69.0,4.0
Sub012,18.0,4.0,0.0,11.0
Sub013,7.0,68.0,30.0,3.0
Sub014,87.0,52.0,38.0,7.0
Sub015,0.0,74.0,0.0,0.0
Sub016,59.0,0.0,59.0,54.0
Sub017,57.0,81.0,3.0,22.0
Sub018,5.0,0.0,22.0,72.0
Sub019,38.0,77.0,23.0,0.0
Sub020,26.0,103.0,3.0,28.0
Sub021,71.0,67.0,22.0,20.0
Mean,31.35,47.0,27.55,18.85
STD,25.86,31.68,24.39,21.73
