Correlated Brain Area (DYS < TD),Correlated Brain Area (DYS < TD),Correlated Brain Area (DYS < TD),Correlated Brain Area (DYS < TD),Correlated Brain Area (DYS < TD),MNI Peak,MNI Peak,MNI Peak,Unnamed: 8_level_0
Size,Unnamed: 1_level_1,Unnamed: 2_level_1,Unnamed: 3_level_1,Unnamed: 4_level_1,x,y,z,t(30)
"13,639",Cluster 1,Bilateral Frontoparietal,Bilateral Frontoparietal,,−11,−36,68,2.43
,,L,Paracentral Lobule,BA 6,−4,−25,69,3.04
,,L,Postcentral Gyrus,BA 2,−49,−22,63,2.88
,,L,Postcentral Gyrus,BA 5,−18,−35,76,3.04
,,L,Postcentral Gyrus,BA 5,−33,−35,71,3.09
,,L,Precentral Gyrus,BA 4,−36,−22,69,2.81
,,L,Precentral Gyrus,BA 4,−37,−16,67,2.8
,,L,Precuneus,BA 7,2,−57,67,2.99
,,L,Superior Frontal Gyrus,BA 6,−21,−3,76,2.82
,,R,Medial Frontal Gyrus,BA 6,5,−13,74,2.8
,,R,Paracentral Lobule,BA 5,8,−39,59,2.83
,,R,Paracentral Lobule,BA 6,6,−24,64,3.05
,,R,Postcentral Gyrus,BA 7,25,−49,74,3.11
,,R,Precuneus,BA 7,8,−47,65,3.07
2943,Cluster 2,Right Frontoparietal,Right Frontoparietal,,40,−21,65,2.38
,,R,Postcentral Gyrus,BA 3,43,−25,65,2.85
,,R,Postcentral Gyrus,BA 3,34,−26,72,2.88
,,R,Precentral Gyrus,BA 4,32,−16,72,2.84
4263,Cluster 3,Bilateral Limbic,Bilateral Limbic,,6,−52,13,2.49
,,L,Posterior Cingulate,BA 29,0,−46,7,3.09
,,R,Posterior Cingulate,BA 30,19,−62,14,2.95
,,R,Posterior Cingulate,BA 30,7,−60,12,2.9
,,R,Posterior Cingulate,BA 30,6,−51,24,2.85
1693,Cluster 4,Right Limbic,Right Limbic,BA 34,37,−3,−28,2.32
,,R,Parahippocampal Gyrus,BA 34,33,1,−28,2.85
,,R,Parahippocampal Gyrus,Amygdala,33,−4,−22,2.91
5940,Cluster 5,Left Temporolimbic,Left Temporolimbic,,−39,−56,23,2.39
,,L,Posterior Cingulate,BA 31,−15,−50,23,3.05
,,L,Superior Temporal Gyrus,BA 39,−43,−56,33,2.91
1766,Cluster 6,Left Temporolimbic,Left Temporolimbic,,−31,−35,−15,2.44
,,L,Parahippocampal Gyrus,Hippocampus,−28,−37,−8,3.12
,,L,Parahippocampal Gyrus,BA 35,−32,−31,−24,2.86
,,L,Fusiform Gyrus,BA 20,−35,−38,−17,2.83
3621,Cluster 7,Left Temporal,Left Temporal,,−58,−9,−18,2.48
,,L,Superior Temporal Gyrus,BA 38,−40,20,−36,2.92
,,L,Fusiform Gyrus,BA 20,−40,−5,−27,3.34
,,L,Sub-Gyral,BA 21,−46,−11,−16,2.91
,,L,Middle Temporal Gyrus,BA 21,−55,−4,−18,3.1
,,L,Middle Temporal Gyrus,BA 21,−65,−3,−18,2.82
,,L,Middle Temporal Gyrus,BA 21,−68,−13,−16,3.22
7273,Cluster 8,Bilateral Cerebellum,Bilateral Cerebellum,,4,−52,−41,2.52
,,L,Posterior Lobe,Lob X,−22,−41,−46,2.43
,,L,Posterior Lobe,Lob IX,−6,−55,−42,2.73
,,R,Posterior Lobe,Lob IX,10,−54,−42,2.52
,,R,Posterior Lobe,Dentate,17,−52,−34,2.29
,,R,Anterior lobe,Lob V,17,−51,−27,2.2
,,R,Posterior Lobe,Lob X,24,−39,−44,2.51
,,R,Posterior Lobe,Lob VIIIa,32,−45,−47,2.5
,,R,Anterior Lobe,Crus I,44,−42,−37,2.46
