Unnamed: 0_level_0,All Children (n = 32),All Children (n = 32),All Children (n = 32),DYS (n = 16),DYS (n = 16),DYS (n = 16),TD (n = 16),TD (n = 16),TD (n = 16)
Measures,SP,HW,READ,SP,HW,READ,SP,HW,READ
SP,-,,,-,,,-,,
HW,0.514 **,-,,0.297,-,,0.557 *,-,
READ,0.592 **,0.711 **,-,0.411,0.564 *,-,0.528 *,0.659 **,-
Cluster 1,0.168,0.302,0.346,−0.480,0.062,−0.125,0.105,0.051,0.210
Cluster 2,0.203,0.274,0.357 *,−0.388,−0.072,0.067,0.159,0.143,0.190
Cluster 3,0.353 *,0.378 *,0.422 *,0.104,0.269,0.217,0.157,0.029,0.146
Cluster 4,0.359 *,0.421 *,0.390 *,0.241,0.387,0.206,0.083,0.008,0.045
Cluster 5,0.345,0.406 *,0.428 *,0.006,0.322,0.305,0.229,0.138,0.148
Cluster 6,0.256,0.296,0.387 *,−0.099,−0.036,0.081,0.106,0.102,0.158
Cluster 7,0.360 *,0.353 *,0.388 *,−0.146,−0.067,0.006,0.313,0.199,0.081
Cluster 8,0.496 **,0.467 **,0.517 **,0.456,0.348,0.403,0.209,0.119,0.152
